undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_15_f000032|deren Diener selbsten mehr und mehr etwas Unheimliches zu ahnen begannen und ihre Gebieter mit seltsamen Blicken verfolgten.|deren Diener selbsten mehr und mehr etwas Unheimliches zu ahnen begannen und ihre Gebieter mit seltsamen Blicken verfolgten.
undine_15_f000033|Huldbrand sagte öfters bei sich im stillen Gemüte: Das kommt davon, wenn gleich sich nicht zu gleich gesellt, wenn Mensch und Meerfräulein ein wunderliches Bündnis schließen.|Huldbrand sagte öfters bei sich im stillen Gemüte: Das kommt davon, wenn gleich sich nicht zu gleich gesellt, wenn Mensch und Meerfräulein ein wunderliches Bündnis schließen.
undine_15_f000034|Sich entschuldigend, wie wir es denn überhaupt lieben, dachte er freilich oftmals dabei: Ich hab es ja nicht gewußt, daß sie ein Meerfräulein war.|Sich entschuldigend, wie wir es denn überhaupt lieben, dachte er freilich oftmals dabei: Ich hab es ja nicht gewußt, daß sie ein Meerfräulein war.
undine_15_f000035|Mein ist das Unheil, das jeden meiner Schritte durch der tollen Verwandtschaft Grillen bannt und stört, aber mein ist nicht die Schuld.|Mein ist das Unheil, das jeden meiner Schritte durch der tollen Verwandtschaft Grillen bannt und stört, aber mein ist nicht die Schuld.
undine_15_f000036|Durch solcherlei Gedanken fühlte er sich einigermaßen gestärkt, aber dagegen ward er immer verdrießlicher, ja feindseliger wider Undinen gestimmt.|Durch solcherlei Gedanken fühlte er sich einigermaßen gestärkt, aber dagegen ward er immer verdrießlicher, ja feindseliger wider Undinen gestimmt.
undine_15_f000037|Er sah sie schon mit mürrischen Blicken an, und die arme Frau verstand deren Bedeutung wohl. Dadurch, und durch die beständige Anstrengung wider Kühleborns Listen erschöpft,|Er sah sie schon mit mürrischen Blicken an, und die arme Frau verstand deren Bedeutung wohl. Dadurch, und durch die beständige Anstrengung wider Kühleborns Listen erschöpft,
undine_15_f000038|sank sie gegen Abend, von der sanftgleitenden Barke angenehm gewiegt, in einen tiefen Schlaf.|sank sie gegen Abend, von der sanftgleitenden Barke angenehm gewiegt, in einen tiefen Schlaf.
undine_15_f000039|Kaum aber, daß sie die Augen geschlossen hatte, so wähnte jedermann im Schiffe, nach der Seite, wo er grade hinaussah, ein ganz abscheuliches Menschenhaupt zu erblicken,|Kaum aber, daß sie die Augen geschlossen hatte, so wähnte jedermann im Schiffe, nach der Seite, wo er grade hinaussah, ein ganz abscheuliches Menschenhaupt zu erblicken,
undine_15_f000040|das sich aus den Wellen emporhob, nicht wie das eines Schwimmenden, sondern ganz senkrecht, wie auf den Wasserspiegel grade eingepfählt, aber mitschwimmend, so wie die Barke schwamm.|das sich aus den Wellen emporhob, nicht wie das eines Schwimmenden, sondern ganz senkrecht, wie auf den Wasserspiegel grade eingepfählt, aber mitschwimmend, so wie die Barke schwamm.
undine_15_f000041|Jeder wollte dem andern zeigen, was ihn erschreckte, und jeder fand zwar auf des andern Gesicht das gleiche Entsetzen, Hand und Auge nach einer andern Richtung hinzeigend,|Jeder wollte dem andern zeigen, was ihn erschreckte, und jeder fand zwar auf des andern Gesicht das gleiche Entsetzen, Hand und Auge nach einer andern Richtung hinzeigend,
undine_15_f000042|als wo ihm selbst das halb lachende, halb dräuende Scheusal vor Augen stand.|als wo ihm selbst das halb lachende, halb dräuende Scheusal vor Augen stand.
undine_15_f000043|Wie sie sich nun aber einander darüber verständigen wollten und alles rief: Sieh dorthin, nein dorthin! – da wurden jedwedem die Greuelbilder aller sichtbar,|Wie sie sich nun aber einander darüber verständigen wollten und alles rief: Sieh dorthin, nein dorthin! - da wurden jedwedem die Greuelbilder aller sichtbar,
undine_15_f000044|und die ganze Flut um das Schiff her wimmelte von den entsetzlichsten Gestalten.|und die ganze Flut um das Schiff her wimmelte von den entsetzlichsten Gestalten.
undine_15_f000045|Von dem Geschrei, das sich darüber erhob, erwachte Undine. Vor ihren aufgehenden Augenlichtern verschwand der mißgeschaffnen Gesichter tolle Schar.|Von dem Geschrei, das sich darüber erhob, erwachte Undine. Vor ihren aufgehenden Augenlichtern verschwand der mißgeschaffnen Gesichter tolle Schar.
undine_15_f000046|Aber Huldbrand war empört über so viele häßliche Gaukeleien. Er wäre in wilde Verwünschungen ausgebrochen, nur daß Undine mit den demütigsten Blicken,|Aber Huldbrand war empört über so viele häßliche Gaukeleien. Er wäre in wilde Verwünschungen ausgebrochen, nur daß Undine mit den demütigsten Blicken,
undine_15_f000047|und ganz leise bittend, sagte:|und ganz leise bittend, sagte:
undine_15_f000048|Um Gott, mein Eheherr, wir sind auf den Fluten; zürne jetzt nicht auf mich.|Um Gott, mein Eheherr, wir sind auf den Fluten; zürne jetzt nicht auf mich.
undine_15_f000049|Der Ritter schwieg, setzte sich und versank in ein tiefes Nachdenken. Undine sagte ihm ins Ohr: Wär es nicht besser, mein Liebling, wir ließen die törichte Reise und kehrten nach Burg Ringstetten in Frieden zurück?|Der Ritter schwieg, setzte sich und versank in ein tiefes Nachdenken. Undine sagte ihm ins Ohr: Wär es nicht besser, mein Liebling, wir ließen die törichte Reise und kehrten nach Burg Ringstetten in Frieden zurück?
undine_15_f000050|Aber Huldbrand murmelte feindselig: Also ein Gefangner soll ich sein auf meiner eignen Burg? Und atmen nur können, solange der Brunnen zu ist?|Aber Huldbrand murmelte feindselig: Also ein Gefangner soll ich sein auf meiner eignen Burg? Und atmen nur können, solange der Brunnen zu ist?
undine_15_f000051|So wollt ich, daß die tolle Verwandtschaft – Da drückte Undine schmeichelnd ihre schöne Hand auf seine Lippen.|So wollt ich, daß die tolle Verwandtschaft - Da drückte Undine schmeichelnd ihre schöne Hand auf seine Lippen.
undine_15_f000052|Er schwieg auch und hielt sich still, so manches, was ihm Undine früher gesagt hatte, erwägend.|Er schwieg auch und hielt sich still, so manches, was ihm Undine früher gesagt hatte, erwägend.
undine_15_f000053|Indessen hatte Bertalda sich allerhand seltsam umschweifenden Gedanken überlassen. Sie wußte vieles von Undinens Herkommen und doch nicht alles,|Indessen hatte Bertalda sich allerhand seltsam umschweifenden Gedanken überlassen. Sie wußte vieles von Undinens Herkommen und doch nicht alles,
undine_15_f000054|und vorzüglich war ihr der furchtbare Kühleborn ein schreckliches, aber noch immer ganz dunkles Rätsel geblieben;|und vorzüglich war ihr der furchtbare Kühleborn ein schreckliches, aber noch immer ganz dunkles Rätsel geblieben;
undine_15_f000055|so daß sie nicht einmal seinen Namen je vernommen hatte. Über alle diese wunderlichen Dinge nachsinnend, knüpfte sie, ohne sich dessen recht bewußt zu werden,|so daß sie nicht einmal seinen Namen je vernommen hatte. Über alle diese wunderlichen Dinge nachsinnend, knüpfte sie, ohne sich dessen recht bewußt zu werden,
undine_15_f000056|ein goldnes Halsband los, welches ihr Huldbrand auf einer der letzten Tagereisen von einem herumziehenden Handelsmann gekauft hatte, und ließ es dicht über der Oberfläche des Flusses spielen,|ein goldnes Halsband los, welches ihr Huldbrand auf einer der letzten Tagereisen von einem herumziehenden Handelsmann gekauft hatte, und ließ es dicht über der Oberfläche des Flusses spielen,
undine_15_f000057|sich halb träumend an dem lichten Schimmer ergötzend, den es in die abendhellen Gewässer warf. Da griff plötzlich eine große Hand aus der Donau herauf,|sich halb träumend an dem lichten Schimmer ergötzend, den es in die abendhellen Gewässer warf. Da griff plötzlich eine große Hand aus der Donau herauf,
undine_15_f000058|erfaßte das Halsband und fuhr damit unter die Fluten.|erfaßte das Halsband und fuhr damit unter die Fluten.
undine_15_f000059|Bertalda schrie laut auf, und ein höhnisches Gelächter schallte aus den Tiefen des Stromes drein. Nun hielt sich des Ritters Zorn nicht länger.|Bertalda schrie laut auf, und ein höhnisches Gelächter schallte aus den Tiefen des Stromes drein. Nun hielt sich des Ritters Zorn nicht länger.
undine_15_f000060|Aufspringend schalt er in die Gewässer hinein, verwünschte alle, die sich in seine Verwandtschaft und sein Leben drängen wollten, und forderte sie auf,|Aufspringend schalt er in die Gewässer hinein, verwünschte alle, die sich in seine Verwandtschaft und sein Leben drängen wollten, und forderte sie auf,
undine_15_f000061|Nix oder Sirene, sich vor sein blankes Schwert zu stellen.|Nix oder Sirene, sich vor sein blankes Schwert zu stellen.
undine_15_f000062|Bertalda weinte indes um den verlornen, ihr so innig lieben Schmuck und goß mit ihren Tränen Öl in des Ritters Zorn, während Undine ihre Hand über den Schiffesbord in die Wellen getaucht hielt,|Bertalda weinte indes um den verlornen, ihr so innig lieben Schmuck und goß mit ihren Tränen Öl in des Ritters Zorn, während Undine ihre Hand über den Schiffesbord in die Wellen getaucht hielt,
undine_15_f000063|in einem fort sacht vor sich hinmurmelnd und nur manchmal ihr seltsam heimliches Geflüster unterbrechend, indem sie bittend zu ihrem Ehherrn sprach:|in einem fort sacht vor sich hinmurmelnd und nur manchmal ihr seltsam heimliches Geflüster unterbrechend, indem sie bittend zu ihrem Ehherrn sprach:
undine_15_f000064|Mein Herzlichlieber, hier schilt mich nicht.|Mein Herzlichlieber, hier schilt mich nicht.
undine_15_f000065|Schilt alles, was du willst, aber hier mich nicht. Du weißt ja! – Und wirklich enthielt sich seine vor Zorn stammelnde Zunge noch jedes Wortes unmittelbar wider sie.|Schilt alles, was du willst, aber hier mich nicht. Du weißt ja! - Und wirklich enthielt sich seine vor Zorn stammelnde Zunge noch jedes Wortes unmittelbar wider sie.
undine_15_f000066|Da brachte sie mit der feuchten Hand, die sie unter den Wogen gehalten hatte, ein wunderschönes Korallenhalsband hervor, so herrlich blitzend,|Da brachte sie mit der feuchten Hand, die sie unter den Wogen gehalten hatte, ein wunderschönes Korallenhalsband hervor, so herrlich blitzend,
undine_15_f000067|daß allen davon die Augen fast geblendet wurden.|daß allen davon die Augen fast geblendet wurden.
undine_15_f000068|Nimm hin, sagte sie, es Bertalden freundlich hinhaltend; das hab ich dir zum Ersatz bringen lassen, und sei nicht weiter betrübt, du armes Kind.|Nimm hin, sagte sie, es Bertalden freundlich hinhaltend; das hab ich dir zum Ersatz bringen lassen, und sei nicht weiter betrübt, du armes Kind.
undine_15_f000069|Aber der Ritter sprang dazwischen. Er riß den schönen Schmuck Undinen aus der Hand, schleuderte ihn wieder in den Fluß und schrie wutentbrannt:|Aber der Ritter sprang dazwischen. Er riß den schönen Schmuck Undinen aus der Hand, schleuderte ihn wieder in den Fluß und schrie wutentbrannt:
undine_15_f000070|So hast du denn immer Verbindung mit ihnen?|So hast du denn immer Verbindung mit ihnen?
undine_15_f000071|Bleib bei ihnen in aller Hexen Namen mit all deinen Geschenken und laß uns Menschen zufrieden, Gauklerin du! – Starren, aber tränenströmenden Blickes sah ihn die arme Undine an,|Bleib bei ihnen in aller Hexen Namen mit all deinen Geschenken und laß uns Menschen zufrieden, Gauklerin du! - Starren, aber tränenströmenden Blickes sah ihn die arme Undine an,
undine_15_f000072|noch immer die Hand ausgestreckt, mit welcher sie Bertalden ihr hübsches Geschenk so freundlich hatte hinreichen wollen. Dann fing sie immer herzlicher an zu weinen,|noch immer die Hand ausgestreckt, mit welcher sie Bertalden ihr hübsches Geschenk so freundlich hatte hinreichen wollen. Dann fing sie immer herzlicher an zu weinen,
undine_15_f000073|wie ein recht unverschuldet und recht bitterlich gekränktes liebes Kind.|wie ein recht unverschuldet und recht bitterlich gekränktes liebes Kind.
undine_15_f000074|Endlich sagte sie ganz matt: Ach, holder Freund, ach, lebe wohl! Sie sollen dir nichts tun; nur bleibe treu, daß ich sie dir abwehren kann.|Endlich sagte sie ganz matt: Ach, holder Freund, ach, lebe wohl! Sie sollen dir nichts tun; nur bleibe treu, daß ich sie dir abwehren kann.
undine_15_f000075|Ach, aber fort muß ich, muß fort auf diese ganze junge Lebenszeit. O weh, o weh, was hast du angerichtet! O weh, o weh!|Ach, aber fort muß ich, muß fort auf diese ganze junge Lebenszeit. O weh, o weh, was hast du angerichtet! O weh, o weh!
undine_15_f000076|Und über den Rand der Barke schwand sie hinaus. – Stieg sie hinüber in die Flut, verströmte sie darin, man wußt es nicht, es war wie beides und wie keins.|Und über den Rand der Barke schwand sie hinaus. - Stieg sie hinüber in die Flut, verströmte sie darin, man wußt es nicht, es war wie beides und wie keins.
undine_15_f000077|Bald aber war sie in die Donau ganz verronnen; nur flüsterten noch kleine Wellchen schluchzend um den Kahn, und fast vernehmlich wares, als sprächen sie:|Bald aber war sie in die Donau ganz verronnen; nur flüsterten noch kleine Wellchen schluchzend um den Kahn, und fast vernehmlich wares, als sprächen sie:
undine_15_f000078|O weh, o weh! Ach bleibe treu! O weh! –|O weh, o weh! Ach bleibe treu! O weh! -
undine_15_f000079|Huldbrand aber lag in heißen Tränen auf dem Verdecke des Schiffes, und eine tiefe Ohnmacht hüllte den Unglücklichen bald in ihre mildernden Schleier ein.|Huldbrand aber lag in heißen Tränen auf dem Verdecke des Schiffes, und eine tiefe Ohnmacht hüllte den Unglücklichen bald in ihre mildernden Schleier ein.
undine_15_f000080|Ende des Fünfzehntes Kapitels.|Ende des Fünfzehntes Kapitels.
undine_16_f000001|Sechzehntes Kapitel von Undine von Friedrich de la Motte Fouque.|Sechzehntes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_16_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_16_f000003|Von Huldbrands fürderm Ergehen|Von Huldbrands fürderm Ergehen
undine_16_f000004|Soll man sagen, leider! oder zum Glück! daß es mit unsrer Trauer keinen rechten Bestand hat? Ich meine, mit unsrer so recht tiefen und aus dem Borne des Lebens schöpfenden Trauer,|Soll man sagen, leider! oder zum Glück! daß es mit unsrer Trauer keinen rechten Bestand hat? Ich meine, mit unsrer so recht tiefen und aus dem Borne des Lebens schöpfenden Trauer,
undine_16_f000005|die mit dem verlornen Geliebten so eines wird, daß er ihr nicht mehr verloren ist und sie ein geweihtes Priestertum an seinem Bilde durch das ganze Leben durchführen will,|die mit dem verlornen Geliebten so eines wird, daß er ihr nicht mehr verloren ist und sie ein geweihtes Priestertum an seinem Bilde durch das ganze Leben durchführen will,
undine_16_f000006|bis die Schranke, die ihm gefallen ist, auch uns zerfällt!|bis die Schranke, die ihm gefallen ist, auch uns zerfällt!
undine_16_f000007|Freilich bleiben wohl gute Menschen wirklich solche Priester, aber es ist doch nicht die erste, rechte Trauer mehr. Andre, fremdartige Bilder haben sich dazwischengedrängt,|Freilich bleiben wohl gute Menschen wirklich solche Priester, aber es ist doch nicht die erste, rechte Trauer mehr. Andre, fremdartige Bilder haben sich dazwischengedrängt,
undine_16_f000008|wir erfahren endlich die Vergänglichkeit aller irdischen Dinge sogar an unserm Schmerz, und so muß ich denn sagen: Leider, daß es mit unsrer Trauer keinen rechten Bestand hat!|wir erfahren endlich die Vergänglichkeit aller irdischen Dinge sogar an unserm Schmerz, und so muß ich denn sagen: Leider, daß es mit unsrer Trauer keinen rechten Bestand hat!
undine_16_f000009|Der Herr von Ringstetten erfuhr das auch; ob zu seinem Heile, werden wir im Verfolg dieser Geschichte hören. Anfänglich konnte er nichts als immer recht bitterlich weinen,|Der Herr von Ringstetten erfuhr das auch; ob zu seinem Heile, werden wir im Verfolg dieser Geschichte hören. Anfänglich konnte er nichts als immer recht bitterlich weinen,
