tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_14_f000149|Sie klagte, es sei das letzte Andenken, das sie von ihrem Kinde haben solle, und daß keine andere Erinnerung jemals so kostbar sein könne;|Sie klagte, es sei das letzte Andenken, das sie von ihrem Kinde haben solle, und daß keine andere Erinnerung jemals so kostbar sein könne;
tom_sawyer_14_f000150|denn dieses Band war das letzte, was sie von dem kleinen Körper bekam, bevor ihn der schreckliche Tod zerstörte.|denn dieses Band war das letzte, was sie von dem kleinen Körper bekam, bevor ihn der schreckliche Tod zerstörte.
tom_sawyer_14_f000151|Einige behaupteten, man könne in der Höhle zuweilen fernen Lichtschein sehen, und dann machte sich jedesmal ein ganzer Trupp unter lauten Freudenrufen dorthin auf - und dann folgte jedesmal die traurigste Enttäuschung.|Einige behaupteten, man könne in der Höhle zuweilen fernen Lichtschein sehen, und dann machte sich jedesmal ein ganzer Trupp unter lauten Freudenrufen dorthin auf - und dann folgte jedesmal die traurigste Enttäuschung.
tom_sawyer_14_f000152|Es ging nicht von den Kindern aus, es war nur das Licht eines Suchenden.|Es ging nicht von den Kindern aus, es war nur das Licht eines Suchenden.
tom_sawyer_14_f000153|Drei schreckliche Tage und Nächte schleppten ihre unendlichen Stunden dahin, und das Dorf versank in stumme Hoffnungslosigkeit.|Drei schreckliche Tage und Nächte schleppten ihre unendlichen Stunden dahin, und das Dorf versank in stumme Hoffnungslosigkeit.
tom_sawyer_14_f000154|Für nichts anderes hatten die Leute Sinn. Die eben gemachte überraschende Entdeckung, daß der Besitzer des Temperenzler-Wirtshauses Spirituosen im Besitz habe,|Für nichts anderes hatten die Leute Sinn. Die eben gemachte überraschende Entdeckung, daß der Besitzer des Temperenzler-Wirtshauses Spirituosen im Besitz habe,
tom_sawyer_14_f000155|erregte kaum schwaches Aufsehen, so unerhört sie auch war.|erregte kaum schwaches Aufsehen, so unerhört sie auch war.
tom_sawyer_14_f000156|In einem lichten Moment begann Huck mit schwacher Stimme von Wirtshäusern im allgemeinen zu sprechen und fragte schließlich,|In einem lichten Moment begann Huck mit schwacher Stimme von Wirtshäusern im allgemeinen zu sprechen und fragte schließlich,
tom_sawyer_14_f000157|von vornherein das Schlimmste fürchtend, ob, seit er krank sei, etwas in dem Temperenzler-Wirtshaus entdeckt worden sei.|von vornherein das Schlimmste fürchtend, ob, seit er krank sei, etwas in dem Temperenzler-Wirtshaus entdeckt worden sei.
tom_sawyer_14_f000158|Die Witwe bejahte. Huck fuhr im Bett in die Höhe, die Augen rollend: Was - was ists?|Die Witwe bejahte. Huck fuhr im Bett in die Höhe, die Augen rollend: Was - was ists?
tom_sawyer_14_f000159|Spirituosen! Und es ist daraufhin zugesperrt worden. Liege still, Kind - wie hast du mich erschreckt!|Spirituosen! Und es ist daraufhin zugesperrt worden. Liege still, Kind - wie hast du mich erschreckt!
tom_sawyer_14_f000160|Nur noch das sagen Sie mir - nur das noch - bitte: - Wares Tom Sawyer, deres entdeckt hat?|Nur noch das sagen Sie mir - nur das noch - bitte: - Wares Tom Sawyer, deres entdeckt hat?
tom_sawyer_14_f000161|Die Witwe brach in Tränen aus: Still, still, Kind! habs dir doch gesagt, du sollst nicht sprechen. Du bist sehr, sehr krank!|Die Witwe brach in Tränen aus: Still, still, Kind! habs dir doch gesagt, du sollst nicht sprechen. Du bist sehr, sehr krank!
tom_sawyer_14_f000162|Also war nichts als Schnaps gefunden; wäres das Geld gewesen, hättes doch sicher mächtiges Aufsehen erregt.|Also war nichts als Schnaps gefunden; wäres das Geld gewesen, hättes doch sicher mächtiges Aufsehen erregt.
tom_sawyer_14_f000163|So war also der Schatz für immer verloren - für immer! - Aber warum weinte sie denn? Sonderbar, daß die Frau da weinte.|So war also der Schatz für immer verloren - für immer! - Aber warum weinte sie denn? Sonderbar, daß die Frau da weinte.
tom_sawyer_14_f000164|Solche trüben Gedanken gingen Huck durch den Kopf, und infolge der dadurch erzeugten Erschöpfung schlief er ein.|Solche trüben Gedanken gingen Huck durch den Kopf, und infolge der dadurch erzeugten Erschöpfung schlief er ein.
tom_sawyer_14_f000165|Die Witwe dachte bei sich: So da - jetzt schläft er wieder - armer Kerl!|Die Witwe dachte bei sich: So da - jetzt schläft er wieder - armer Kerl!
tom_sawyer_14_f000166|Tom Sawyer es finden! Erbarme dich - wenn doch jemand den Tom Sawyer finden wollte!|Tom Sawyer es finden! Erbarme dich - wenn doch jemand den Tom Sawyer finden wollte!
tom_sawyer_14_f000167|Viele gibtes sicher nicht, die noch Hoffnung oder auch nur Kraft genug haben, auf die Suche zu gehen!|Viele gibtes sicher nicht, die noch Hoffnung oder auch nur Kraft genug haben, auf die Suche zu gehen!
tom_sawyer_15_f000001|Zweiunddreißigstes Kapitel.|Zweiunddreißigstes Kapitel.
tom_sawyer_15_f000002|Kehren wir jetzt wieder zu Toms und Beckys Anteil am Picknick zurück.|Kehren wir jetzt wieder zu Toms und Beckys Anteil am Picknick zurück.
tom_sawyer_15_f000003|Mit der übrigen Gesellschaft trieben sie sich durch die finsteren Gänge, die bekannten Wunder der Höhle betrachtend - mit hochtrabenden Bezeichnungen wie Gesellschaftszimmer,|Mit der übrigen Gesellschaft trieben sie sich durch die finsteren Gänge, die bekannten Wunder der Höhle betrachtend - mit hochtrabenden Bezeichnungen wie Gesellschaftszimmer,
tom_sawyer_15_f000004|Kathedrale, Aladins Palast usw.|Kathedrale, Aladins Palast usw.
tom_sawyer_15_f000005|ausgestattete Wunder. Als dann das lustige Fangen und Verstecken begann, beteiligten sich Tom und Becky eifrig daran, bis auch das allmählich langweilig wurde.|ausgestattete Wunder. Als dann das lustige Fangen und Verstecken begann, beteiligten sich Tom und Becky eifrig daran, bis auch das allmählich langweilig wurde.
tom_sawyer_15_f000006|Darauf spazierten sie eine gewundene Felsgasse hinunter, indem sie mit hochgehaltenen Kerzen die halb von Spinnweben verdeckten Namen,|Darauf spazierten sie eine gewundene Felsgasse hinunter, indem sie mit hochgehaltenen Kerzen die halb von Spinnweben verdeckten Namen,
tom_sawyer_15_f000007|Daten, Postorte und Mottos lasen, mit denen die Wände verziert waren.|Daten, Postorte und Mottos lasen, mit denen die Wände verziert waren.
tom_sawyer_15_f000008|Als sie so allein und plaudernd weitertrieben, merkten sie schließlich, daß sie sich bereits in einem Teil der Höhle befanden, der keine solchen Inschriften aufwies.|Als sie so allein und plaudernd weitertrieben, merkten sie schließlich, daß sie sich bereits in einem Teil der Höhle befanden, der keine solchen Inschriften aufwies.
tom_sawyer_15_f000009|Sie kritzelten ihre eigenen Namen mit Kerzenrauch unter einen Felsvorsprung und gingen weiter.|Sie kritzelten ihre eigenen Namen mit Kerzenrauch unter einen Felsvorsprung und gingen weiter.
tom_sawyer_15_f000010|Plötzlich kamen sie an eine Stelle, wo eine Quelle, über Geröll herunterrieselnd und Kalkstückchen mit sich treibend,|Plötzlich kamen sie an eine Stelle, wo eine Quelle, über Geröll herunterrieselnd und Kalkstückchen mit sich treibend,
tom_sawyer_15_f000011|durch endlose Jahrhunderte einen kleinen Niagara über in ewige Finsternis gehüllte unveränderbare Felsen bildete.|durch endlose Jahrhunderte einen kleinen Niagara über in ewige Finsternis gehüllte unveränderbare Felsen bildete.
tom_sawyer_15_f000012|Tom zwängte seinen kleinen Körper darunter, um den Wasserfall zu illuminieren.|Tom zwängte seinen kleinen Körper darunter, um den Wasserfall zu illuminieren.
tom_sawyer_15_f000013|Er fand, daß er eine Art natürliche steinerne Treppe in die Tiefe verbarg, welche zwischen schmalen Wänden eingeklemmt war.|Er fand, daß er eine Art natürliche steinerne Treppe in die Tiefe verbarg, welche zwischen schmalen Wänden eingeklemmt war.
tom_sawyer_15_f000014|Die Begierde, den Entdecker zu spielen, ergriff ihn sofort.|Die Begierde, den Entdecker zu spielen, ergriff ihn sofort.
tom_sawyer_15_f000015|Becky stimmte ihm bei, und sie machten zur Sicherheit wieder ein Rauchzeichen und machten sich auf die Suche.|Becky stimmte ihm bei, und sie machten zur Sicherheit wieder ein Rauchzeichen und machten sich auf die Suche.
tom_sawyer_15_f000016|Sie verfolgten diesen Weg, brachten tief in den tiefsten Abgründen der Höhle noch mehrere solche Zeichen an und trieben sich dann kreuz und quer herum,|Sie verfolgten diesen Weg, brachten tief in den tiefsten Abgründen der Höhle noch mehrere solche Zeichen an und trieben sich dann kreuz und quer herum,
tom_sawyer_15_f000017|um Dinge zu entdecken, mit denen sie die Oberwelt verblüffen könnten.|um Dinge zu entdecken, mit denen sie die Oberwelt verblüffen könnten.
tom_sawyer_15_f000018|Irgendwo fanden sie eine große Höhle, von deren Wölbung eine große Menge schimmernder Tropfsteine, von der Länge und dem Umfange eines Mannes herunterhingen.|Irgendwo fanden sie eine große Höhle, von deren Wölbung eine große Menge schimmernder Tropfsteine, von der Länge und dem Umfange eines Mannes herunterhingen.
tom_sawyer_15_f000019|Staunend und sich verwundernd gingen sie hindurch und plötzlich mündete die Höhle in einen engen Gang,|Staunend und sich verwundernd gingen sie hindurch und plötzlich mündete die Höhle in einen engen Gang,
tom_sawyer_15_f000020|und dieser brachte sie zu einem bezaubernd schönen Springbrunnen, dessen Becken mit einer Eisschicht glänzenden Kristalls bedeckt war.|und dieser brachte sie zu einem bezaubernd schönen Springbrunnen, dessen Becken mit einer Eisschicht glänzenden Kristalls bedeckt war.
tom_sawyer_15_f000021|Er befand sich in der Mitte eines hallenartigen Raumes, dessen Wände getragen wurden von einer Reihe phantastisch geformter,|Er befand sich in der Mitte eines hallenartigen Raumes, dessen Wände getragen wurden von einer Reihe phantastisch geformter,
tom_sawyer_15_f000022|aus Tropfstein gebildeter Säulen, das Resultat durch Jahrtausende ruhelos fallender Wassertropfen.|aus Tropfstein gebildeter Säulen, das Resultat durch Jahrtausende ruhelos fallender Wassertropfen.
tom_sawyer_15_f000023|Unter der Wölbung hatten sich riesige Ballen von Fledermäusen gebildet, viele tausend aneinander hängend;|Unter der Wölbung hatten sich riesige Ballen von Fledermäusen gebildet, viele tausend aneinander hängend;
tom_sawyer_15_f000024|die Lichter schreckten die Tiere auf, und sie kamen hundertweise herunter, quiekend und wahnsinnig auf die Flammen der Kerzen losstürzend.|die Lichter schreckten die Tiere auf, und sie kamen hundertweise herunter, quiekend und wahnsinnig auf die Flammen der Kerzen losstürzend.
tom_sawyer_15_f000025|Tom kannte ihre Art und die Gefahr, die hier entstand.|Tom kannte ihre Art und die Gefahr, die hier entstand.
tom_sawyer_15_f000026|Er griff Becky bei der Hand und zog sie in den ersten sich auftuenden Gang;|Er griff Becky bei der Hand und zog sie in den ersten sich auftuenden Gang;
tom_sawyer_15_f000027|und nicht zu früh, denn eine Fledermaus löschte mit ihrem Flügel Beckys Licht aus, während sie aus der Höhle rannten.|und nicht zu früh, denn eine Fledermaus löschte mit ihrem Flügel Beckys Licht aus, während sie aus der Höhle rannten.
tom_sawyer_15_f000028|Die Tiere verfolgten die Kinder noch eine gute Strecke, aber die Flüchtlinge stürzten sich in jeden neuen Gang und entgingen so schließlich der gefährlichen Situation.|Die Tiere verfolgten die Kinder noch eine gute Strecke, aber die Flüchtlinge stürzten sich in jeden neuen Gang und entgingen so schließlich der gefährlichen Situation.
tom_sawyer_15_f000029|Tom entdeckte einen unterirdischen See, dessen düsteres Wasser weit entfernt sich im Schatten des Unbekannten verlor.|Tom entdeckte einen unterirdischen See, dessen düsteres Wasser weit entfernt sich im Schatten des Unbekannten verlor.
tom_sawyer_15_f000030|Tom wollte seine Ufer umwandern, meinte aber, es möchte besser sein, sich vorher zu setzen und eine Weile zu ruhen.|Tom wollte seine Ufer umwandern, meinte aber, es möchte besser sein, sich vorher zu setzen und eine Weile zu ruhen.
tom_sawyer_15_f000031|Jetzt, zum erstenmal legte sich die tiefe Stille der Umgebung gleich einer feuchten Hand auf die Gemüter der Kinder.|Jetzt, zum erstenmal legte sich die tiefe Stille der Umgebung gleich einer feuchten Hand auf die Gemüter der Kinder.
tom_sawyer_15_f000032|Becky sagte: Weißt du, drauf geachtet habe ich ja nicht, aber es scheint mir so lange her, seit ich die andern gehört habe.|Becky sagte: Weißt du, drauf geachtet habe ich ja nicht, aber es scheint mir so lange her, seit ich die andern gehört habe.
tom_sawyer_15_f000033|Na, Becky, denke doch nur, wir sind doch tief unter ihnen, und ich weiß nicht, wie weit nördlich oder südlich oder westlich oder was sonst.|Na, Becky, denke doch nur, wir sind doch tief unter ihnen, und ich weiß nicht, wie weit nördlich oder südlich oder westlich oder was sonst.
tom_sawyer_15_f000034|Können sie hier unmöglich hören.|Können sie hier unmöglich hören.
tom_sawyer_15_f000035|Becky wurde ängstlich. Möchte doch wissen, wie lange wir schon hier unten sind, Tom. Laß uns lieber umkehren.|Becky wurde ängstlich. Möchte doch wissen, wie lange wir schon hier unten sind, Tom. Laß uns lieber umkehren.
tom_sawyer_15_f000036|Ja, denk auch, es ist besser. Vielleicht ists besser.|Ja, denk auch, es ist besser. Vielleicht ists besser.
tom_sawyer_15_f000037|Kannst du den Weg finden, Tom? Für mich ists ein reiner Irrgarten.|Kannst du den Weg finden, Tom? Für mich ists ein reiner Irrgarten.
tom_sawyer_15_f000038|Denk wohl, ich könnt en finden. Aber dann die Fledermäuse, wenn die uns die Kerzen ausmachen, ists ene schreckliche Sache.|Denk wohl, ich könnt en finden. Aber dann die Fledermäuse, wenn die uns die Kerzen ausmachen, ists ene schreckliche Sache.
tom_sawyer_15_f000039|Laß uns enen anderen Weg versuchen, wo wir nicht durch müssen.|Laß uns enen anderen Weg versuchen, wo wir nicht durch müssen.
tom_sawyer_15_f000040|Ja, aber ich hoffe, wir werden uns nicht verlaufen. es wär doch zu gräßlich.|Ja, aber ich hoffe, wir werden uns nicht verlaufen. es wär doch zu gräßlich.
tom_sawyer_15_f000041|Und das Kind schüttelte sich schaudernd beim bloßen Gedanken an die furchtbare Möglichkeit.|Und das Kind schüttelte sich schaudernd beim bloßen Gedanken an die furchtbare Möglichkeit.
tom_sawyer_15_f000042|Sie verfolgten einen Gang lange Zeit schweigend, nach jeder neuen Öffnung schauend, ob sich dort nicht eins ihrer Merkmale sehen lasse; aber nichts war zu sehen.|Sie verfolgten einen Gang lange Zeit schweigend, nach jeder neuen Öffnung schauend, ob sich dort nicht eins ihrer Merkmale sehen lasse; aber nichts war zu sehen.
tom_sawyer_15_f000043|So oft Tom seine Untersuchung anstellte, durchforschte Becky sein Gesicht nach einem ermutigenden Zeichen, und er sagte zuversichtlich: O, es ist schon recht!|So oft Tom seine Untersuchung anstellte, durchforschte Becky sein Gesicht nach einem ermutigenden Zeichen, und er sagte zuversichtlich: O, es ist schon recht!
tom_sawyer_15_f000044|Der da ists noch nicht, aber wir werden schon zum rechten kommen!|Der da ists noch nicht, aber wir werden schon zum rechten kommen!
tom_sawyer_15_f000045|Aber bei jedem mißlungenen Nachforschen fühlte er weniger und weniger Zuversicht, und schließlich begann er auf gut Glück in jeden sich öffnenden Gang einzulenken,|Aber bei jedem mißlungenen Nachforschen fühlte er weniger und weniger Zuversicht, und schließlich begann er auf gut Glück in jeden sich öffnenden Gang einzulenken,
tom_sawyer_15_f000046|in der verzweifelten Hoffnung, zu finden, was so bitter not tat.|in der verzweifelten Hoffnung, zu finden, was so bitter not tat.
tom_sawyer_15_f000047|Er sagte immer noch: es wäre recht, aber auf seinem Herzen lastete solch lähmende Angst, daß die Worte ihren Klang verloren hatten und klangen,|Er sagte immer noch: es wäre recht, aber auf seinem Herzen lastete solch lähmende Angst, daß die Worte ihren Klang verloren hatten und klangen,
tom_sawyer_15_f000048|als habe er gesagt: Alles ist verloren.|als habe er gesagt: Alles ist verloren.
tom_sawyer_15_f000049|Becky, halbtot vor Furcht, schmiegte sich an ihn und versuchte, krampfhaft die Tränen zurückzuhalten, aber sie kamen doch.|Becky, halbtot vor Furcht, schmiegte sich an ihn und versuchte, krampfhaft die Tränen zurückzuhalten, aber sie kamen doch.
tom_sawyer_15_f000050|Schließlich sagte sie: O, Tom, was tun die Fledermäuse. Laß uns denselben Weg zurückgehen! Wir kommen ja weiter und immer weiter ab.|Schließlich sagte sie: O, Tom, was tun die Fledermäuse. Laß uns denselben Weg zurückgehen! Wir kommen ja weiter und immer weiter ab.
tom_sawyer_15_f000051|Tom blieb stehen Horch, sagte er.|Tom blieb stehen Horch, sagte er.
tom_sawyer_15_f000052|Tiefe Stille; so tiefe Stille, daß sogar ihr Atem hörbar wurde. Tom schrie.|Tiefe Stille; so tiefe Stille, daß sogar ihr Atem hörbar wurde. Tom schrie.
tom_sawyer_15_f000053|Der Schall dröhnte durch die hohlen Gänge und erzeugte hundertfaches Echo, um in der Ferne in einem schwachen Ton zu ersterben, der wie höhnisches Lachen klang.|Der Schall dröhnte durch die hohlen Gänge und erzeugte hundertfaches Echo, um in der Ferne in einem schwachen Ton zu ersterben, der wie höhnisches Lachen klang.
