das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_012_f000554|Zum Donnerwetter, was will denn der Kerl hier?|Zum Donnerwetter, was will denn der Kerl hier?
das_letzte_marchen_012_f000555|Wollen Sie machen, daß Sie rauskommen?|Wollen Sie machen, daß Sie rauskommen?
das_letzte_marchen_012_f000556|Sie haben mich gar nichts rauszuschmeißen, Sie alter Halunke, knirschte Dr. Nein.|Sie haben mich gar nichts rauszuschmeißen, Sie alter Halunke, knirschte Dr. Nein.
das_letzte_marchen_012_f000557|Ich habe ebensoviel Recht hier einzubrechen wie Sie.|Ich habe ebensoviel Recht hier einzubrechen wie Sie.
das_letzte_marchen_012_f000558|Da verlor der Räuber seine Fassung.|Da verlor der Räuber seine Fassung.
das_letzte_marchen_012_f000559|Soviel Recht wie ich?!|Soviel Recht wie ich?!
das_letzte_marchen_012_f000560|Haben Sie eine Konzession? schrie er.|Haben Sie eine Konzession? schrie er.
das_letzte_marchen_012_f000561|Einen Gewerbeschein?|Einen Gewerbeschein?
das_letzte_marchen_012_f000562|Ein Wilder sind Sie, ein Schwärzer, ein Raubräuber!|Ein Wilder sind Sie, ein Schwärzer, ein Raubräuber!
das_letzte_marchen_012_f000563|Das ließ sich der Doktor nicht gefallen, ein wütender Streit brach aus, es kam zu Tätlichkeiten, ein Tischchen mit Porzellan fiel um, ich wandte mich nach dem Fenster – Da sprang die Tür auf, und fünf bewaffnete Männer drangen in die Stube.|Das ließ sich der Doktor nicht gefallen, ein wütender Streit brach aus, es kam zu Tätlichkeiten, ein Tischchen mit Porzellan fiel um, ich wandte mich nach dem Fenster - Da sprang die Tür auf, und fünf bewaffnete Männer drangen in die Stube.
das_letzte_marchen_012_f000564|Waffen hoch!|Waffen hoch!
das_letzte_marchen_012_f000565|kommandierte Brumbu.|kommandierte Brumbu.
das_letzte_marchen_012_f000566|Die Räuber erhoben die Waffen.|Die Räuber erhoben die Waffen.
das_letzte_marchen_012_f000567|Was wollt Ihr? rief der Älteste von den fünf Männern, bleich vor Schreck, als er die Menge der Eindringlinge sah.|Was wollt Ihr? rief der Älteste von den fünf Männern, bleich vor Schreck, als er die Menge der Eindringlinge sah.
das_letzte_marchen_012_f000568|Dr. Barragu, treten Sie vor und sagen Sie dem Manne, was wir von ihm wollen! befahl Brumbu.|Dr. Barragu, treten Sie vor und sagen Sie dem Manne, was wir von ihm wollen! befahl Brumbu.
das_letzte_marchen_012_f000569|Ich muß sagen, daß ich mich in einer großen Verlegenheit befand.|Ich muß sagen, daß ich mich in einer großen Verlegenheit befand.
das_letzte_marchen_012_f000570|Ich machte vor dem alten Herrn eine tiefe Verneigung und stammelte: Ach, bitte entschuldigen Sie nur gütigst, verehrter Herr, – daß wir – daß wir so frei gewesen sind, – – Sie können mir glauben, daß es mir außerordentlich fatal ist, zu solch ungewohnter Stunde und auf diesem Wege in Ihre traute Häuslichkeit – Das ist Quatsch!|Ich machte vor dem alten Herrn eine tiefe Verneigung und stammelte: Ach, bitte entschuldigen Sie nur gütigst, verehrter Herr, - daß wir - daß wir so frei gewesen sind, - - Sie können mir glauben, daß es mir außerordentlich fatal ist, zu solch ungewohnter Stunde und auf diesem Wege in Ihre traute Häuslichkeit - Das ist Quatsch!
das_letzte_marchen_012_f000571|unterbrach mich Brumbu und trat selbst vor.|unterbrach mich Brumbu und trat selbst vor.
das_letzte_marchen_012_f000572|Also hören Sie, Freundchen, dieser Herr hat einige Bogen Papier in der Tasche, die Sie schleunigst in Ihrer Buchdruckerei etliche tausendmal abdrucken werden.|Also hören Sie, Freundchen, dieser Herr hat einige Bogen Papier in der Tasche, die Sie schleunigst in Ihrer Buchdruckerei etliche tausendmal abdrucken werden.
das_letzte_marchen_012_f000573|Ich mache Sie darauf aufmerksam, daß wir große Eile haben und daß die ganze Geschichte sich schnell, exakt, ohne allen Lärm und völlig kostenlos für uns abwickeln muß; sonst würde die Sache für Sie gefährlich werden.|Ich mache Sie darauf aufmerksam, daß wir große Eile haben und daß die ganze Geschichte sich schnell, exakt, ohne allen Lärm und völlig kostenlos für uns abwickeln muß; sonst würde die Sache für Sie gefährlich werden.
das_letzte_marchen_012_f000574|In den nächsten Stunden saß ich mit meinen Gefährten in einer Buchdruckerei, die an das Wohnhaus, in das wir eingestiegen waren, angebaut war.|In den nächsten Stunden saß ich mit meinen Gefährten in einer Buchdruckerei, die an das Wohnhaus, in das wir eingestiegen waren, angebaut war.
das_letzte_marchen_012_f000575|Der alte Herr war der Besitzer, die anderen vier Männer waren seine Gehilfen.|Der alte Herr war der Besitzer, die anderen vier Männer waren seine Gehilfen.
das_letzte_marchen_012_f000576|Eifrig arbeiteten alle an den Setzertischen und an den Maschinen.|Eifrig arbeiteten alle an den Setzertischen und an den Maschinen.
das_letzte_marchen_012_f000577|Sie hatten außer dem Manuskript, das ich am Nachmittag abgefaßt hatte, auch die Photographle von Schnugu, Nein, Stimpekrex und mir zu vervielfältigen.|Sie hatten außer dem Manuskript, das ich am Nachmittag abgefaßt hatte, auch die Photographle von Schnugu, Nein, Stimpekrex und mir zu vervielfältigen.
das_letzte_marchen_012_f000578|Es war ein recht eigentümlicher Anblick, diese Leute nächtlicherweile so eifrig arbeiten zu sehen, während die Räuber an den Wänden lehnten und sie nicht aus den Augen ließen.|Es war ein recht eigentümlicher Anblick, diese Leute nächtlicherweile so eifrig arbeiten zu sehen, während die Räuber an den Wänden lehnten und sie nicht aus den Augen ließen.
das_letzte_marchen_012_f000579|Ich war schon einmal hier, sagte Brumbu in der Zwischenzeit leise zu mir.|Ich war schon einmal hier, sagte Brumbu in der Zwischenzeit leise zu mir.
das_letzte_marchen_012_f000580|Der Mann hat für mich schon einmal zwangsweise ein Bändchen Gedichte drucken müssen.|Der Mann hat für mich schon einmal zwangsweise ein Bändchen Gedichte drucken müssen.
das_letzte_marchen_012_f000581|Ein junger Dichter hatte sich an mich gewandt.|Ein junger Dichter hatte sich an mich gewandt.
das_letzte_marchen_012_f000582|Er konnte für seine Dichtungen durchaus keinen Verleger finden, denn alle behaupteten, die Gedichte seien sehr schlecht.|Er konnte für seine Dichtungen durchaus keinen Verleger finden, denn alle behaupteten, die Gedichte seien sehr schlecht.
das_letzte_marchen_012_f000583|Da wandte er sich vertrauensvoll an mich. Mir gefielen die Gedichte, und als ich sie hatte zwangsweise drucken lassen und ein kleines Vorwort dazu gemacht hatte, haben sie 3l7 Auflagen gehabt!|Da wandte er sich vertrauensvoll an mich. Mir gefielen die Gedichte, und als ich sie hatte zwangsweise drucken lassen und ein kleines Vorwort dazu gemacht hatte, haben sie dreilsieben Auflagen gehabt!
das_letzte_marchen_012_f000584|Morgens gegen vier Uhr waren die Broschüren fertig; auf der Titelseite war unser Bild.|Morgens gegen vier Uhr waren die Broschüren fertig; auf der Titelseite war unser Bild.
das_letzte_marchen_012_f000585|Der Druckereichef, der alles gelesen hatte, war in schwerster Aufregung über den Inhalt und kam mir mit der größten Höflichkeit entgegen.|Der Druckereichef, der alles gelesen hatte, war in schwerster Aufregung über den Inhalt und kam mir mit der größten Höflichkeit entgegen.
das_letzte_marchen_012_f000586|Ich entschuldigte mich nun noch einmal bei ihm, aber er sagte, er sei glücklich, helfen zu können an einer patriotischen Tat.|Ich entschuldigte mich nun noch einmal bei ihm, aber er sagte, er sei glücklich, helfen zu können an einer patriotischen Tat.
das_letzte_marchen_012_f000587|Behutsam und liebenswürdig entließ er Dr. Nein und mich durch die Haustür.|Behutsam und liebenswürdig entließ er Dr. Nein und mich durch die Haustür.
das_letzte_marchen_012_f000588|Brumbu erklärte eine solche Art des Ausgangs für ehrenrührig oder doch für höchst ungewöhnlich und kletterte mit seinen Gefährten wieder durchs Fenster.|Brumbu erklärte eine solche Art des Ausgangs für ehrenrührig oder doch für höchst ungewöhnlich und kletterte mit seinen Gefährten wieder durchs Fenster.
das_letzte_marchen_012_f000589|Jeder von uns trug ein Paket der Broschüren.|Jeder von uns trug ein Paket der Broschüren.
das_letzte_marchen_012_f000590|Im Walde trafen wir mit Dr. Schnugu und Stempekrex wieder zusammen.|Im Walde trafen wir mit Dr. Schnugu und Stempekrex wieder zusammen.
das_letzte_marchen_012_f000591|Wir nahmen dort von Brumbru und seiner Schar kurzen, aber herzlichen Abschied.|Wir nahmen dort von Brumbru und seiner Schar kurzen, aber herzlichen Abschied.
das_letzte_marchen_012_f000592|Die Räuber zogen aus nach allen Teilen des Landes.|Die Räuber zogen aus nach allen Teilen des Landes.
das_letzte_marchen_012_f000593|Überall sollten die Flugblätter verteilt werden.|Überall sollten die Flugblätter verteilt werden.
das_letzte_marchen_012_f000594|An einzelstehenden Bäumen, an Wegzeigern, Brückengeländern, Straßenecken, auf den Haustürschwellen, auf den Marktplätzen, an den Brunnen, überall sollten die Herididasufoturianier das Flugblatt finden.|An einzelstehenden Bäumen, an Wegzeigern, Brückengeländern, Straßenecken, auf den Haustürschwellen, auf den Marktplätzen, an den Brunnen, überall sollten die Herididasufoturianier das Flugblatt finden.
das_letzte_marchen_012_f000595|Wahrheit!|Wahrheit!
das_letzte_marchen_012_f000596|Die Wahrheit mußte das Volk wissen, dann mochte es sich entscheiden.|Die Wahrheit mußte das Volk wissen, dann mochte es sich entscheiden.
das_letzte_marchen_012_f000597|Und wir vier gingen dorthin, wohin uns das Herz zog – nach Marilkaporta.|Und wir vier gingen dorthin, wohin uns das Herz zog - nach Marilkaporta.
das_letzte_marchen_012_f000598|Ende von Abschnitt 12.|Ende von Abschnitt zwölf.
das_letzte_marchen_013_f000001|Abschnitt 13 von das letzte Märchen vom Paul Keller.|Abschnitt dreizeh von das letzte Marchen vom Paul Keller.
das_letzte_marchen_013_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
das_letzte_marchen_013_f000003|Junger König.|Junger König.
das_letzte_marchen_013_f000004|Wir wanderten tagelang.|Wir wanderten tagelang.
das_letzte_marchen_013_f000005|Manchmal nahm uns ein Bauer mit auf seinem Wäglein, manchmal fuhr uns ein Fischer eine Strecke stromaufwärts.|Manchmal nahm uns ein Bauer mit auf seinem Wäglein, manchmal fuhr uns ein Fischer eine Strecke stromaufwärts.
das_letzte_marchen_013_f000006|Überall verteilten wir unsere Flugblätter, schickten auch Hunderte davon an bekannte Adressen in der Hauptstadt.|Überall verteilten wir unsere Flugblätter, schickten auch Hunderte davon an bekannte Adressen in der Hauptstadt.
das_letzte_marchen_013_f000007|Als wir näher an die Stadt kamen, merkten wir bereits, daß die Leute von unserer Botschaft heimlich redeten; die Wahrheit war schon durchgesickert.|Als wir näher an die Stadt kamen, merkten wir bereits, daß die Leute von unserer Botschaft heimlich redeten; die Wahrheit war schon durchgesickert.
das_letzte_marchen_013_f000008|So zogen wir heim, vielleicht heim in den Tod.|So zogen wir heim, vielleicht heim in den Tod.
das_letzte_marchen_013_f000009|Doch wir waren voll Mutes und unwandelbaren Entschlusses.|Doch wir waren voll Mutes und unwandelbaren Entschlusses.
das_letzte_marchen_013_f000010|In einer Morgenstunde war es, als wir von einer Anhöhe aus die heilige Stadt vor uns sahen.|In einer Morgenstunde war es, als wir von einer Anhöhe aus die heilige Stadt vor uns sahen.
das_letzte_marchen_013_f000011|O, wie anders erschien sie mir heut als an jenem Neujahrstag, da ich selig wie ein Kind die Hände nach ihr ausstreckte und keinen anderen Wunsch hatte, als spielen zu dürfen auf ihren Straßen mit bunten Kieseln!|O, wie anders erschien sie mir heut als an jenem Neujahrstag, da ich selig wie ein Kind die Hände nach ihr ausstreckte und keinen anderen Wunsch hatte, als spielen zu dürfen auf ihren Straßen mit bunten Kieseln!
das_letzte_marchen_013_f000012|Nun hatte ich neben vielem Glück und reicher Schönheit das Leid dort gefunden; nun waren Kummer, Not und Tod auch dort an mich herangetreten.|Nun hatte ich neben vielem Glück und reicher Schönheit das Leid dort gefunden; nun waren Kummer, Not und Tod auch dort an mich herangetreten.
das_letzte_marchen_013_f000013|Im letzten Märchen mußte der Märchenkönig sterben.|Im letzten Märchen mußte der Märchenkönig sterben.
das_letzte_marchen_013_f000014|Wir vier Kameraden lagerten uns müde ins grüne Gras und schauten schweigend den gekrümmten Weg entlang, der ins Tal hinunterführte und jenseits hinaufstieg zur heiligen Stadt.|Wir vier Kameraden lagerten uns müde ins grüne Gras und schauten schweigend den gekrümmten Weg entlang, der ins Tal hinunterführte und jenseits hinaufstieg zur heiligen Stadt.
das_letzte_marchen_013_f000015|Da hörten wir Rosseshufe aufschlagen.|Da hörten wir Rosseshufe aufschlagen.
das_letzte_marchen_013_f000016|Den Bergrücken entlang kam ein Reiter in sausendem Galopp.|Den Bergrücken entlang kam ein Reiter in sausendem Galopp.
das_letzte_marchen_013_f000017|Ein Mönch!|Ein Mönch!
das_letzte_marchen_013_f000018|Die braune Kapuze bedeckte seinen Kopf, die Kutte flatterte im Winde.|Die braune Kapuze bedeckte seinen Kopf, die Kutte flatterte im Winde.
das_letzte_marchen_013_f000019|Er mußte an uns vorüber, da wir dicht am Wege saßen.|Er mußte an uns vorüber, da wir dicht am Wege saßen.
das_letzte_marchen_013_f000020|Jetzt war er da.|Jetzt war er da.
das_letzte_marchen_013_f000021|Ein Schrei, das Roß bäumte hoch auf, der Mönch sprang zur Erde, die Kapuze glitt ihm in den Nacken, goldene Locken fielen auf den braunen Habit – Juvento!|Ein Schrei, das Roß bäumte hoch auf, der Mönch sprang zur Erde, die Kapuze glitt ihm in den Nacken, goldene Locken fielen auf den braunen Habit - Juvento!
das_letzte_marchen_013_f000022|Einen Augenblick starrten wir uns an, dann trat ein sonniges Lächeln auf seine Züge, er breitete seine Arme aus, wir sanken uns an die Brust und küßten uns mit heißen Tränen.|Einen Augenblick starrten wir uns an, dann trat ein sonniges Lächeln auf seine Züge, er breitete seine Arme aus, wir sanken uns an die Brust und küßten uns mit heißen Tränen.
das_letzte_marchen_013_f000023|Zwei, die für die Freundschaft bestimmt waren, hatten sich gefunden nach langer Irrung.|Zwei, die für die Freundschaft bestimmt waren, hatten sich gefunden nach langer Irrung.
das_letzte_marchen_013_f000024|Dann saß er mit uns am blühenden Wegrand und hielt immerfort meine Hand.|Dann saß er mit uns am blühenden Wegrand und hielt immerfort meine Hand.
das_letzte_marchen_013_f000025|Er erzählte viel, aber alles kurz und hastig; seine Augen wanderten oft mit Ungeduld hinüber nach der heiligen Stadt.|Er erzählte viel, aber alles kurz und hastig; seine Augen wanderten oft mit Ungeduld hinüber nach der heiligen Stadt.
das_letzte_marchen_013_f000026|Er hatte nicht teilgenommen an dem Bruderkriege, hatte das Friedenstestament des toten Königs heilig gehalten.|Er hatte nicht teilgenommen an dem Bruderkriege, hatte das Friedenstestament des toten Königs heilig gehalten.
das_letzte_marchen_013_f000027|Den Frieden hatte er gepredigt am Hofe seines Vaters, und als das nutzlos war, auf den Gassen und Plätzen des Volkes.|Den Frieden hatte er gepredigt am Hofe seines Vaters, und als das nutzlos war, auf den Gassen und Plätzen des Volkes.
das_letzte_marchen_013_f000028|Als der Krieg dennoch ausbrach, als eine starke Friedenspartei sich für ihn bildete, war er auf Betreiben seiner Regierung in Haft genommen und in einem entlegenen Schloß eingesperrt worden.|Als der Krieg dennoch ausbrach, als eine starke Friedenspartei sich für ihn bildete, war er auf Betreiben seiner Regierung in Haft genommen und in einem entlegenen Schloß eingesperrt worden.
das_letzte_marchen_013_f000029|Dort sollte er solange gefangen gehalten werden, bis die Sache seines Vaterlandes entschieden war.|Dort sollte er solange gefangen gehalten werden, bis die Sache seines Vaterlandes entschieden war.
das_letzte_marchen_013_f000030|Der goldlockige Scheitel senkte sich ihm, als er das erzählte, und seine großen Augen glänzten in Schmerz und Zorn.|Der goldlockige Scheitel senkte sich ihm, als er das erzählte, und seine großen Augen glänzten in Schmerz und Zorn.
das_letzte_marchen_013_f000031|Gefangen wie ein gefährlicher Demagog!|Gefangen wie ein gefährlicher Demagog!
das_letzte_marchen_013_f000032|So müßig sitzen, während sich die Schicksale des Vaterlandes entschieden und des anderen Landes, das ich kaum weniger liebte!|So müßig sitzen, während sich die Schicksale des Vaterlandes entschieden und des anderen Landes, das ich kaum weniger liebte!
