meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_16_salgari_f000167|e specialmente Brandok e Toby si sentivano estremamente stanchi ed in preda a dei tremiti convulsi, che li impressionavano non poco.|e specialmente Brandok e Toby si sentivano estremamente stanchi ed in preda a dei tremiti convulsi, che li impressionavano non poco.
meraviglieduemila_16_salgari_f000168|Verso sera uno splendido raggio di sole ruppe finalmente le nubi, illuminando di traverso le onde, essendo l’astro prossimo al tramonto.|Verso sera uno splendido raggio di sole ruppe finalmente le nubi, illuminando di traverso le onde, essendo lastro prossimo al tramonto.
meraviglieduemila_16_salgari_f000169|Il capitano, avvertito dal pilota, si era affrettato ad alzarsi per cercare di conoscere|Il capitano, avvertito dal pilota, si era affrettato ad alzarsi per cercare di conoscere
meraviglieduemila_16_salgari_f000170|almeno approssimativamente, dove l’uragano aveva spinto la città galleggiante.|almeno approssimativamente, dove luragano aveva spinto la città galleggiante.
meraviglieduemila_16_salgari_f000171|Rimase subito colpito dalla presenza di enormi masse di alghe che fluttuavano in mezzo alle onde.|Rimase subito colpito dalla presenza di enormi masse di alghe che fluttuavano in mezzo alle onde.
meraviglieduemila_16_salgari_f000172|— Lo temevo — disse aggrottando la fronte. — Che cosa avete?|- Lo temevo - disse aggrottando la fronte. - Che cosa avete?
meraviglieduemila_16_salgari_f000173|— chiese Brandok con apprensione.|- chiese Brandok con apprensione.
meraviglieduemila_16_salgari_f000174|— Miei cari signori, noi corriamo il pericolo di venir fermati per sempre nella nostra corsa ed imprigionati. — Da chi?|- Miei cari signori, noi corriamo il pericolo di venir fermati per sempre nella nostra corsa ed imprigionati. - Da chi?
meraviglieduemila_16_salgari_f000175|— chiesero ad una voce i tre americani. — Dai sargassi.|- chiesero ad una voce i tre americani. - Dai sargassi.
meraviglieduemila_16_salgari_f000176|Se questo enorme cassone si caccia fra quegli ammassi di alghe, non ne uscirà più|Se questo enorme cassone si caccia fra quegli ammassi di alghe, non ne uscirà più
meraviglieduemila_16_salgari_f000177|ve lo assicuro io, a meno che un’altra tempesta non scoppi soffiando in senso inverso.|ve lo assicuro io, a meno che unaltra tempesta non scoppi soffiando in senso inverso.
meraviglieduemila_16_salgari_f000178|— Ma voi capitano, avete la iettatura — disse Brandok.|- Ma voi capitano, avete la iettatura - disse Brandok.
meraviglieduemila_16_salgari_f000179|— Si direbbe davvero, purchè invece non l’abbia Jao o la sua città.|- Si direbbe davvero, purchè invece non labbia Jao o la sua città.
meraviglieduemila_16_salgari_f000180|— Ci spinge proprio sui sargassi il vento? — disse Toby.|- Ci spinge proprio sui sargassi il vento? - disse Toby.
meraviglieduemila_16_salgari_f000181|— E le onde anzi lo aiutano — rispose il capitano, che diventava sempre più inquieto.|- E le onde anzi lo aiutano - rispose il capitano, che diventava sempre più inquieto.
meraviglieduemila_16_salgari_f000182|— Tempesta, alghe, morti e persone pericolose sotto i piedi — mormorò Brandok.|- Tempesta, alghe, morti e persone pericolose sotto i piedi - mormorò Brandok.
meraviglieduemila_16_salgari_f000183|— Non valeva proprio la pena di ritornare in vita dopo cent’anni per provare simili avventure.|- Non valeva proprio la pena di ritornare in vita dopo centanni per provare simili avventure.
meraviglieduemila_16_salgari_f000184|— Ed i vostri amministrati che cosa fanno Jao? — chiese il capitano.|- Ed i vostri amministrati che cosa fanno Jao? - chiese il capitano.
meraviglieduemila_16_salgari_f000185|— Russano in mezzo ai morti. — Ancora! Meglio per noi.|- Russano in mezzo ai morti. - Ancora! Meglio per noi.
meraviglieduemila_16_salgari_f000186|Se non si svegliassero più sarei ben contento|Se non si svegliassero più sarei ben contento
meraviglieduemila_16_salgari_f000187|poichè sono certo che ci daranno non pochi fastidi quando finalmente apriranno gli occhi e non troveranno più alcool per continuare la loro indecente orgia.|poichè sono certo che ci daranno non pochi fastidi quando finalmente apriranno gli occhi e non troveranno più alcool per continuare la loro indecente orgia.
meraviglieduemila_16_salgari_f000188|Attenzione! L’urto sarà abbastanza forte per scaraventarvi in acqua se non vi terrete ben saldi.|Attenzione! Lurto sarà abbastanza forte per scaraventarvi in acqua se non vi terrete ben saldi.
meraviglieduemila_16_salgari_f000189|L’Atlantico, che si trovava fermato nella sua corsa furibonda|LAtlantico, che si trovava fermato nella sua corsa furibonda
meraviglieduemila_16_salgari_f000190|sferzato poderosamente dal vento che lo incalzava senza tregua, raddoppiava la sua rabbia|sferzato poderosamente dal vento che lo incalzava senza tregua, raddoppiava la sua rabbia
meraviglieduemila_16_salgari_f000191|cercando di sfondare, ma invano, quelle interminabili masse di alghe|cercando di sfondare, ma invano, quelle interminabili masse di alghe
meraviglieduemila_16_salgari_f000192|saldamente intrecciate le une colle altre per mezzo d’un numero infinito di radici.|saldamente intrecciate le une colle altre per mezzo dun numero infinito di radici.
meraviglieduemila_16_salgari_f000193|Le ondate, non trovando sfogo, si ritorcevano su loro stesse, provocando dei contrassalti d’una violenza indescrivibile.|Le ondate, non trovando sfogo, si ritorcevano su loro stesse, provocando dei contrassalti duna violenza indescrivibile.
meraviglieduemila_16_salgari_f000194|Immense cortine di spuma vagavano al di sopra dei sargassi abbattendosi di quando in quando e lacerandosi sotto i vigorosi soffi delle raffiche.|Immense cortine di spuma vagavano al di sopra dei sargassi abbattendosi di quando in quando e lacerandosi sotto i vigorosi soffi delle raffiche.
meraviglieduemila_16_salgari_f000195|La città galleggiante rollava in modo inquietante, tuffando i suoi fianchi nelle onde.|La città galleggiante rollava in modo inquietante, tuffando i suoi fianchi nelle onde.
meraviglieduemila_16_salgari_f000196|Tutte le sue balaustrate erano state strappate, però le traverse d’acciaio delle invetriate resistevano sempre.|Tutte le sue balaustrate erano state strappate, però le traverse dacciaio delle invetriate resistevano sempre.
meraviglieduemila_16_salgari_f000197|Guai se avessero ceduto sotto il peso immane dei cavalloni.|Guai se avessero ceduto sotto il peso immane dei cavalloni.
meraviglieduemila_16_salgari_f000198|Nessuno dei forzati sarebbe di certo sfuggito all’invasione delle acque.|Nessuno dei forzati sarebbe di certo sfuggito allinvasione delle acque.
meraviglieduemila_16_salgari_f000199|Gli ultimi bagliori del crepuscolo stavano per scomparire|Gli ultimi bagliori del crepuscolo stavano per scomparire
meraviglieduemila_16_salgari_f000200|quando la città galleggiante che continuava la sua corsa verso il sud-ovest si trovò in mezzo alle prime alghe.|quando la città galleggiante che continuava la sua corsa verso il sud-ovest si trovò in mezzo alle prime alghe.
meraviglieduemila_16_salgari_f000201|— Ci siamo! — gridò il capitano, dominando per un istante, colla sua voce tonante, i mille fragori della tempesta. — Tenetevi saldi!|- Ci siamo! - gridò il capitano, dominando per un istante, colla sua voce tonante, i mille fragori della tempesta. - Tenetevi saldi!
meraviglieduemila_16_salgari_f000202|Una montagna liquida sollevò la città, la tenne un momento come sospesa in aria, poi la scaraventò innanzi con forza inaudita.|Una montagna liquida sollevò la città, la tenne un momento come sospesa in aria, poi la scaraventò innanzi con forza inaudita.
meraviglieduemila_16_salgari_f000203|Si udì un rombo sonoro, prodotto dalle pareti d’acciaio, poi l’enorme massa rimase immobile|Si udì un rombo sonoro, prodotto dalle pareti dacciaio, poi lenorme massa rimase immobile
meraviglieduemila_16_salgari_f000204|mentre le onde attraversavano velocemente la cupola lasciando cadere entro il pozzo dei torrenti d’acqua|mentre le onde attraversavano velocemente la cupola lasciando cadere entro il pozzo dei torrenti dacqua
meraviglieduemila_16_salgari_f000205|i quali precipitarono sulle teste degli ubriachi come una gran doccia salutare.|i quali precipitarono sulle teste degli ubriachi come una gran doccia salutare.
meraviglieduemila_17_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_17_salgari_f000002|Capitulo Diciassettesimo Fra i Sargassi.|Capitulo Diciassettesimo Fra i Sargassi.
meraviglieduemila_17_salgari_f000003|Il Mar dei Sargassi, come ognuno sa, non è altro che un ammasso immenso di alghe|Il Mar dei Sargassi, come ognuno sa, non è altro che un ammasso immenso di alghe
meraviglieduemila_17_salgari_f000004|radunate colà dal gioco diretto ed indiretto delle correnti marine e soprattutto dalla grande corrente del Gulf-Stream.|radunate colà dal gioco diretto ed indiretto delle correnti marine e soprattutto dalla grande corrente del Gulf-Stream.
meraviglieduemila_17_salgari_f000005|Ha una superficie di duecento sessanta mila miglia quadrate|Ha una superficie di duecento sessanta mila miglia quadrate
meraviglieduemila_17_salgari_f000006|con una lunghezza di mille duecento e una larghezza che varia dalle cinquanta alle cento sessanta miglia.|con una lunghezza di mille duecento e una larghezza che varia dalle cinquanta alle cento sessanta miglia.
meraviglieduemila_17_salgari_f000007|Quelle alghe della specie sargassum bacciferum|Quelle alghe della specie sargassum bacciferum
meraviglieduemila_17_salgari_f000008|si presentano a ciuffi staccati che hanno una lunghezza da trenta a ottanta centimetri, e si vedono ora sparsi ed ora agglomerati|si presentano a ciuffi staccati che hanno una lunghezza da trenta a ottanta centimetri, e si vedono ora sparsi ed ora agglomerati
meraviglieduemila_17_salgari_f000009|formando ora delle strisce ed ora dei veri campi|formando ora delle strisce ed ora dei veri campi
meraviglieduemila_17_salgari_f000010|talvolta così fitti da arrestare i velieri che hanno la disgrazia di venire spinti là dentro.|talvolta così fitti da arrestare i velieri che hanno la disgrazia di venire spinti là dentro.
meraviglieduemila_17_salgari_f000011|Si crede che là sotto esista quella famosa Atlantide, così misteriosamente scomparsa coi suoi milioni e milioni di abitanti|Si crede che là sotto esista quella famosa Atlantide, così misteriosamente scomparsa coi suoi milioni e milioni di abitanti
meraviglieduemila_17_salgari_f000012|e può darsi benissimo che quell’isola serva di fondo a quello sterminato ammasso di vegetali.|e può darsi benissimo che quellisola serva di fondo a quello sterminato ammasso di vegetali.
meraviglieduemila_17_salgari_f000013|La città galleggiante, spinta in mezzo alle alghe dal possente urto delle onde|La città galleggiante, spinta in mezzo alle alghe dal possente urto delle onde
meraviglieduemila_17_salgari_f000014|vi si era così ben incastrata da rimanere quasi di colpo immobile, come se si fosse arenata sopra un banco di sabbia.|vi si era così ben incastrata da rimanere quasi di colpo immobile, come se si fosse arenata sopra un banco di sabbia.
meraviglieduemila_17_salgari_f000015|L’enorme massa d’acciaio, investendo i sargassi con uno dei suoi lati|Lenorme massa dacciaio, investendo i sargassi con uno dei suoi lati
meraviglieduemila_17_salgari_f000016|vi si era incastrata come un immane cuneo dentro un tronco d’albero ancora più immane.|vi si era incastrata come un immane cuneo dentro un tronco dalbero ancora più immane.
meraviglieduemila_17_salgari_f000017|Le onde, che si rovesciavano al di sopra degli sterminati campi di alghe, tentando invano di scompaginarli, l’assalivano ancora|Le onde, che si rovesciavano al di sopra degli sterminati campi di alghe, tentando invano di scompaginarli, lassalivano ancora
meraviglieduemila_17_salgari_f000018|investendo specialmente la cupola, con poco divertimento dei sei uomini, i quali correvano il pericolo di venire portati via;|investendo specialmente la cupola, con poco divertimento dei sei uomini, i quali correvano il pericolo di venire portati via;
meraviglieduemila_17_salgari_f000019|però le ondate non riuscivano più a scuoterla.|però le ondate non riuscivano più a scuoterla.
meraviglieduemila_17_salgari_f000020|— È finito il nostro viaggio, capitano?|- È finito il nostro viaggio, capitano?
meraviglieduemila_17_salgari_f000021|— disse Brandok, che si teneva aggrappato disperatamente al margine del pozzo.|- disse Brandok, che si teneva aggrappato disperatamente al margine del pozzo.
meraviglieduemila_17_salgari_f000022|— Purtroppo — rispose il comandante del Centauro.|- Purtroppo - rispose il comandante del Centauro.
meraviglieduemila_17_salgari_f000023|— Siamo peggio che arenati, e non saprei chi potrebbe trarre dal mezzo di queste alghe questo gigantesco cassone di metallo.|- Siamo peggio che arenati, e non saprei chi potrebbe trarre dal mezzo di queste alghe questo gigantesco cassone di metallo.
meraviglieduemila_17_salgari_f000024|Nemmeno una flotta intera vi riuscirebbe.|Nemmeno una flotta intera vi riuscirebbe.
meraviglieduemila_17_salgari_f000025|— Saremo dunque costretti a vivere eternamente qui, o a morire di fame?|- Saremo dunque costretti a vivere eternamente qui, o a morire di fame?
meraviglieduemila_17_salgari_f000026|— Di fame no, poichè il Mar dei Sargassi è ricco di pesci minuscoli, sì|- Di fame no, poichè il Mar dei Sargassi è ricco di pesci minuscoli, sì
meraviglieduemila_17_salgari_f000027|però non meno eccellenti nè meno nutritivi degli altri, e che si possono prendere senza l’aiuto delle reti.|però non meno eccellenti nè meno nutritivi degli altri, e che si possono prendere senza laiuto delle reti.
meraviglieduemila_17_salgari_f000028|Troveremo, anzi, anche dei voracissimi e grossi granchi, che ci forniranno dei piatti squisiti.|Troveremo, anzi, anche dei voracissimi e grossi granchi, che ci forniranno dei piatti squisiti.
