maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_7_f000213|Sie hätte die Arme um seinen Hals schlingen wollen, aber sie verhielt sich still.|Sie hätte die Arme um seinen Hals schlingen wollen, aber sie verhielt sich still.
maedchenvommoorhof_7_f000214|Heute mußte sie vernünftig sein.|Heute mußte sie vernünftig sein.
maedchenvommoorhof_7_f000215|Es ist ja wahr, ich hätte dich nicht an demselben Tage, wo ich ins Gefängnis soll, bitten dürfen, mein Weib zu werden.|Es ist ja wahr, ich hätte dich nicht an demselben Tage, wo ich ins Gefängnis soll, bitten dürfen, mein Weib zu werden.
maedchenvommoorhof_7_f000216|Aber der Gedanke, daß du auf mich warten würdest, bis ich wieder frei wäre, hätte mich all das Schwere mit leichtem Mut erdulden lassen.|Aber der Gedanke, daß du auf mich warten würdest, bis ich wieder frei wäre, hätte mich all das Schwere mit leichtem Mut erdulden lassen.
maedchenvommoorhof_7_f000217|Ich bin es nicht, die auf dich warten soll, Gudmund.|Ich bin es nicht, die auf dich warten soll, Gudmund.
maedchenvommoorhof_7_f000218|Alle Menschen werden mich jetzt als einen Missetäter betrachten, als einen, der sich besäuft und mordet.|Alle Menschen werden mich jetzt als einen Missetäter betrachten, als einen, der sich besäuft und mordet.
maedchenvommoorhof_7_f000219|Ach, wenn es nur eine gäbe, die mich mit Liebe ansehen könnte!|Ach, wenn es nur eine gäbe, die mich mit Liebe ansehen könnte!
maedchenvommoorhof_7_f000220|Das würde mich besser aufrechterhalten als alles andre.|Das würde mich besser aufrechterhalten als alles andre.
maedchenvommoorhof_7_f000221|Du weißt, daß ich nie etwas andres als Gutes von dir denken werde, Gudmund.|Du weißt, daß ich nie etwas andres als Gutes von dir denken werde, Gudmund.
maedchenvommoorhof_7_f000222|Helga war sehr still.|Helga war sehr still.
maedchenvommoorhof_7_f000223|Gudmunds Bitten wurden fast zu viel für sie.|Gudmunds Bitten wurden fast zu viel für sie.
maedchenvommoorhof_7_f000224|Sie wußte gar nicht, wie sie ihm entkommen sollte.|Sie wußte gar nicht, wie sie ihm entkommen sollte.
maedchenvommoorhof_7_f000225|Aber Gudmund verstand nichts, sondern begann zu glauben, daß er sich geirrt habe.|Aber Gudmund verstand nichts, sondern begann zu glauben, daß er sich geirrt habe.
maedchenvommoorhof_7_f000226|Sie könnte nicht dasselbe für ihn empfinden wie er für sie.|Sie könnte nicht dasselbe für ihn empfinden wie er für sie.
maedchenvommoorhof_7_f000227|Er kam ganz dicht an sie heran und sah sie an, als wollte er mitten durch sie hindurchsehen.|Er kam ganz dicht an sie heran und sah sie an, als wollte er mitten durch sie hindurchsehen.
maedchenvommoorhof_7_f000228|Sitzest du nicht gerade auf diesem Felsen hier, um nach Närlunda hinunterzusehen?|Sitzest du nicht gerade auf diesem Felsen hier, um nach Närlunda hinunterzusehen?
maedchenvommoorhof_7_f000229|Ja, das tu ich. Sehnst du dich nicht Tag und Nacht hin?|Ja, das tu ich. Sehnst du dich nicht Tag und Nacht hin?
maedchenvommoorhof_7_f000230|Ja. Aber ich sehne mich nicht nach einem Menschen.|Ja. Aber ich sehne mich nicht nach einem Menschen.
maedchenvommoorhof_7_f000231|Und mich magst du gar nicht?|Und mich magst du gar nicht?
maedchenvommoorhof_7_f000232|O ja, aber ich will dich nicht heiraten.|O ja, aber ich will dich nicht heiraten.
maedchenvommoorhof_7_f000233|Wen hast du denn gern?|Wen hast du denn gern?
maedchenvommoorhof_7_f000234|Helga schwieg.|Helga schwieg.
maedchenvommoorhof_7_f000235|Per Martensson?|Per Martensson?
maedchenvommoorhof_7_f000236|Ja, ihm hab ich gesagt, daß ich ihn gern habe, sagte sie und war ganz zermartert.|Ja, ihm hab ich gesagt, daß ich ihn gern habe, sagte sie und war ganz zermartert.
maedchenvommoorhof_7_f000237|Gudmund blieb ein Weilchen stehen und sah sie mit ergrimmtem Gesicht an.|Gudmund blieb ein Weilchen stehen und sah sie mit ergrimmtem Gesicht an.
maedchenvommoorhof_7_f000238|Dann also lebewohl!|Dann also lebewohl!
maedchenvommoorhof_7_f000239|Jetzt gehen wir getrennte Wege, du und ich, sagte er, und damit machte er einen gewaltigen Sprung von dem Stein zum nächsten Felsabsatz und verschwand unter den Bäumen.|Jetzt gehen wir getrennte Wege, du und ich, sagte er, und damit machte er einen gewaltigen Sprung von dem Stein zum nächsten Felsabsatz und verschwand unter den Bäumen.
maedchenvommoorhof_8_f000001|Kaum war Gudmund verschwunden, als Helga auf einem andern Wege den Berg hinuntereilte.|Kaum war Gudmund verschwunden, als Helga auf einem andern Wege den Berg hinuntereilte.
maedchenvommoorhof_8_f000002|Sie lief am Moorhof vorbei, ohne stehenzubleiben und eilte dann, so rasch sie konnte, über die Waldhügel hinunter auf den Weg.|Sie lief am Moorhof vorbei, ohne stehenzubleiben und eilte dann, so rasch sie konnte, über die Waldhügel hinunter auf den Weg.
maedchenvommoorhof_8_f000003|Im ersten Bauernhof, den sie erreichte, bat sie die Inwohner, ihr Pferd und Fuhrwerk zu leihen, damit sie nach Älvåkra fahren könnte.|Im ersten Bauernhof, den sie erreichte, bat sie die Inwohner, ihr Pferd und Fuhrwerk zu leihen, damit sie nach Älvkra fahren könnte.
maedchenvommoorhof_8_f000004|Sie sagte, es gälte das Leben, daß sie hinkäme, und versprach, dafür zu zahlen.|Sie sagte, es gälte das Leben, daß sie hinkäme, und versprach, dafür zu zahlen.
maedchenvommoorhof_8_f000005|Die Dorfleute waren schon heimgekommen und hatten von der unterbliebenen Hochzeit erzählt.|Die Dorfleute waren schon heimgekommen und hatten von der unterbliebenen Hochzeit erzählt.
maedchenvommoorhof_8_f000006|Alle waren sehr bewegt und mitleidig, und man wollte Helga die Hilfe nicht verweigern, da sie eine wichtige Botschaft für die Leute auf Älvåkra zu haben schien.|Alle waren sehr bewegt und mitleidig, und man wollte Helga die Hilfe nicht verweigern, da sie eine wichtige Botschaft für die Leute auf Älvkra zu haben schien.
maedchenvommoorhof_8_f000007|In Älvåkra saß Hildur Erikstochter in einer kleinen Kammer im oberen Stockwerk, wo sie ihr Brautkleid abgelegt hatte.|In Älvkra saß Hildur Erikstochter in einer kleinen Kammer im oberen Stockwerk, wo sie ihr Brautkleid abgelegt hatte.
maedchenvommoorhof_8_f000008|Die Mutter und ein paar andre Bäuerinnen waren um sie.|Die Mutter und ein paar andre Bäuerinnen waren um sie.
maedchenvommoorhof_8_f000009|Hildur weinte nicht, aber sie war ungewöhnlich still und blaß; es sah aus, als würde sie jeden Augenblick krank hinsinken.|Hildur weinte nicht, aber sie war ungewöhnlich still und blaß; es sah aus, als würde sie jeden Augenblick krank hinsinken.
maedchenvommoorhof_8_f000010|Die Frauen sprachen die ganze Zeit von Gudmund.|Die Frauen sprachen die ganze Zeit von Gudmund.
maedchenvommoorhof_8_f000011|Alle tadelten ihn und schienen es als ein Glück für Hildur anzusehen, daß sie von ihm befreit war.|Alle tadelten ihn und schienen es als ein Glück für Hildur anzusehen, daß sie von ihm befreit war.
maedchenvommoorhof_8_f000012|Einige meinten, Gudmund habe wenig Rücksicht auf die Schwiegereltern gezeigt.|Einige meinten, Gudmund habe wenig Rücksicht auf die Schwiegereltern gezeigt.
maedchenvommoorhof_8_f000013|Er hätte ihnen schon am Pfingsttage sagen müssen, wie es um ihn stand.|Er hätte ihnen schon am Pfingsttage sagen müssen, wie es um ihn stand.
maedchenvommoorhof_8_f000014|Andre sagten, wem ein so großes Glück bevorstünde, der müßte besser auf sich achten.|Andre sagten, wem ein so großes Glück bevorstünde, der müßte besser auf sich achten.
maedchenvommoorhof_8_f000015|Und einige beglückwünschten Hildur, daß sie dem Schicksal entging, einen zu heiraten, der sich so sinnlos betrinken konnte, daß er nicht mehr wußte, was er tat.|Und einige beglückwünschten Hildur, daß sie dem Schicksal entging, einen zu heiraten, der sich so sinnlos betrinken konnte, daß er nicht mehr wußte, was er tat.
maedchenvommoorhof_8_f000016|Mitten unter diesen Reden schien Hildur ungeduldig zu werden; sie stand auf, um das Zimmer zu verlassen.|Mitten unter diesen Reden schien Hildur ungeduldig zu werden; sie stand auf, um das Zimmer zu verlassen.
maedchenvommoorhof_8_f000017|Sowie sie zur Tür hinaus war, kam ihre beste Freundin, ein junges Bauernmädchen, und flüsterte ihr zu: Unten ist jemand, der mit dir sprechen will.|Sowie sie zur Tür hinaus war, kam ihre beste Freundin, ein junges Bauernmädchen, und flüsterte ihr zu: Unten ist jemand, der mit dir sprechen will.
maedchenvommoorhof_8_f000018|Ist es Gudmund? fragte Hildur, und ein Strahl des Lebens leuchtete in ihren Augen auf.|Ist es Gudmund? fragte Hildur, und ein Strahl des Lebens leuchtete in ihren Augen auf.
maedchenvommoorhof_8_f000019|Nein, aber, ich glaube, eine Botschaft von ihm.|Nein, aber, ich glaube, eine Botschaft von ihm.
maedchenvommoorhof_8_f000020|Sie will, was sie auszurichten hat, keinem als nur dir selbst sagen.|Sie will, was sie auszurichten hat, keinem als nur dir selbst sagen.
maedchenvommoorhof_8_f000021|Nun hatte Hildur den ganzen Tag dagesessen und gedacht, daß jemand kommen müsse, der diesem Elend ein Ende machte.|Nun hatte Hildur den ganzen Tag dagesessen und gedacht, daß jemand kommen müsse, der diesem Elend ein Ende machte.
maedchenvommoorhof_8_f000022|Sie konnte es gar nicht begreifen, daß ein so schreckliches Unglück sie treffen sollte.|Sie konnte es gar nicht begreifen, daß ein so schreckliches Unglück sie treffen sollte.
maedchenvommoorhof_8_f000023|Sie meinte, es müsse etwas geschehen, das es ihr möglich machte, Krone und Kranz wieder aufzusetzen, mit dem Hochzeitszug zur Kirche zu fahren und getraut zu werden.|Sie meinte, es müsse etwas geschehen, das es ihr möglich machte, Krone und Kranz wieder aufzusetzen, mit dem Hochzeitszug zur Kirche zu fahren und getraut zu werden.
maedchenvommoorhof_8_f000024|Als sie nun von einer Botschaft Gudmunds hörte, wurde sie ganz eifrig und lief eilends zu Helga hinaus, die vor der Kirchentür stand und auf sie wartete.|Als sie nun von einer Botschaft Gudmunds hörte, wurde sie ganz eifrig und lief eilends zu Helga hinaus, die vor der Kirchentür stand und auf sie wartete.
maedchenvommoorhof_8_f000025|Hildur wunderte sich wohl, daß Gudmund Helga zu ihr schickte, aber sie dachte, er hätte vielleicht heute am Feiertag keine andre Botin gefunden, und begrüßte sie freundlich.|Hildur wunderte sich wohl, daß Gudmund Helga zu ihr schickte, aber sie dachte, er hätte vielleicht heute am Feiertag keine andre Botin gefunden, und begrüßte sie freundlich.
maedchenvommoorhof_8_f000026|Sie winkte Helga, ihr in die Milchkammer zu folgen, die drüben auf der andern Längsseite des Hofes lag.|Sie winkte Helga, ihr in die Milchkammer zu folgen, die drüben auf der andern Längsseite des Hofes lag.
maedchenvommoorhof_8_f000027|Ich weiß keinen andern Ort, wo wir allein sprechen können, sagte sie.|Ich weiß keinen andern Ort, wo wir allein sprechen können, sagte sie.
maedchenvommoorhof_8_f000028|Wir haben noch das Haus voll Leute.|Wir haben noch das Haus voll Leute.
maedchenvommoorhof_8_f000029|Sobald sie drinnen waren, trat Helga dicht an Hildur heran und sah ihr ins Gesicht.|Sobald sie drinnen waren, trat Helga dicht an Hildur heran und sah ihr ins Gesicht.
maedchenvommoorhof_8_f000030|Bevor ich etwas sage, muß ich erst wissen, ob du Gudmund lieb hast, Hildur.|Bevor ich etwas sage, muß ich erst wissen, ob du Gudmund lieb hast, Hildur.
maedchenvommoorhof_8_f000031|Hildur zuckte vor Empörung zusammen.|Hildur zuckte vor Empörung zusammen.
maedchenvommoorhof_8_f000032|Es war ihr eine Qual, mit Helga auch nur ein einziges Wort wechseln zu müssen, und sie hatte wahrlich keine Lust, sie zu ihrer Vertrauten zu machen.|Es war ihr eine Qual, mit Helga auch nur ein einziges Wort wechseln zu müssen, und sie hatte wahrlich keine Lust, sie zu ihrer Vertrauten zu machen.
maedchenvommoorhof_8_f000033|Aber nun war die Not am höchsten, und so zwang sie sich, zu antworten: Warum, glaubst du, hätte ich ihn sonst heiraten wollen?|Aber nun war die Not am höchsten, und so zwang sie sich, zu antworten: Warum, glaubst du, hätte ich ihn sonst heiraten wollen?
maedchenvommoorhof_8_f000034|Ich meine, ob du ihn noch lieb hast, Hildur?|Ich meine, ob du ihn noch lieb hast, Hildur?
maedchenvommoorhof_8_f000035|Hildur wurde wie zu Stein, aber unter dem forschenden Blick der andern konnte sie nicht lügen.|Hildur wurde wie zu Stein, aber unter dem forschenden Blick der andern konnte sie nicht lügen.
maedchenvommoorhof_8_f000036|Vielleicht habe ich ihn noch nie so lieb gehabt wie heute, sagte sie, jedoch so leise, daß man glauben konnte, es täte ihr weh, die Worte auszusprechen.|Vielleicht habe ich ihn noch nie so lieb gehabt wie heute, sagte sie, jedoch so leise, daß man glauben konnte, es täte ihr weh, die Worte auszusprechen.
maedchenvommoorhof_8_f000037|Dann komm gleich mit mir, sagte Helga.|Dann komm gleich mit mir, sagte Helga.
maedchenvommoorhof_8_f000038|Ich habe drunten auf der Straße einen Wagen stehen.|Ich habe drunten auf der Straße einen Wagen stehen.
maedchenvommoorhof_8_f000039|Du brauchst dich nur fertig zu machen, dann können wir gleich nach Närlunda fahren.|Du brauchst dich nur fertig zu machen, dann können wir gleich nach Närlunda fahren.
maedchenvommoorhof_8_f000040|Wozu soll es gut sein, daß ich hinfahre? fragte Hildur.|Wozu soll es gut sein, daß ich hinfahre? fragte Hildur.
maedchenvommoorhof_8_f000041|Du mußt hinfahren und sagen, daß du Gudmund angehören willst, Hildur, was er auch getan haben mag, und daß du treu auf ihn warten wirst, während er im Gefängnis sitzt.|Du mußt hinfahren und sagen, daß du Gudmund angehören willst, Hildur, was er auch getan haben mag, und daß du treu auf ihn warten wirst, während er im Gefängnis sitzt.
maedchenvommoorhof_8_f000042|Warum soll ich das sagen?|Warum soll ich das sagen?
maedchenvommoorhof_8_f000043|Damit alles zwischen euch wieder gut wird.|Damit alles zwischen euch wieder gut wird.
maedchenvommoorhof_8_f000044|Aber das ist ja unmöglich.|Aber das ist ja unmöglich.
maedchenvommoorhof_8_f000045|Ich will doch keinen heiraten, der im Gefängnis gesessen hat.|Ich will doch keinen heiraten, der im Gefängnis gesessen hat.
maedchenvommoorhof_8_f000046|Helga prallte ein paar Schritt zurück, so als wäre sie an eine Mauer gestoßen.|Helga prallte ein paar Schritt zurück, so als wäre sie an eine Mauer gestoßen.
maedchenvommoorhof_8_f000047|Aber sie faßte rasch wieder Mut.|Aber sie faßte rasch wieder Mut.
maedchenvommoorhof_8_f000048|Sie konnte ja begreifen, daß, wer mächtig und reich war wie Hildur, so denken mußte.|Sie konnte ja begreifen, daß, wer mächtig und reich war wie Hildur, so denken mußte.
maedchenvommoorhof_8_f000049|Ich wäre nicht hierher gekommen und hätte dich nicht gebeten, nach Närlunda zu fahren, wenn ich nicht wüßte, daß Gudmund unschuldig ist, sagte sie.|Ich wäre nicht hierher gekommen und hätte dich nicht gebeten, nach Närlunda zu fahren, wenn ich nicht wüßte, daß Gudmund unschuldig ist, sagte sie.
maedchenvommoorhof_8_f000050|Jetzt war es Hildur, die einen Schritt von Helga forttrat.|Jetzt war es Hildur, die einen Schritt von Helga forttrat.
maedchenvommoorhof_8_f000051|Weißt du das, oder ist es nur etwas, was du glaubst?|Weißt du das, oder ist es nur etwas, was du glaubst?
maedchenvommoorhof_8_f000052|Es wäre besser, wenn wir uns gleich in den Wagen setzten, dann könnte ich es dir unterwegs erzählen, Hildur.|Es wäre besser, wenn wir uns gleich in den Wagen setzten, dann könnte ich es dir unterwegs erzählen, Hildur.
maedchenvommoorhof_8_f000053|Nein, erst mußt du mir alles sagen.|Nein, erst mußt du mir alles sagen.
maedchenvommoorhof_8_f000054|Ich muß wissen, was ich tue.|Ich muß wissen, was ich tue.
maedchenvommoorhof_8_f000055|Helga war so voll brennenden Eifers, daß sie kaum stillstehen konnte, aber sie mußte sich doch bequemen, Hildur zu erzählen, woher sie wüßte, daß nicht Gudmund der Täter sei.|Helga war so voll brennenden Eifers, daß sie kaum stillstehen konnte, aber sie mußte sich doch bequemen, Hildur zu erzählen, woher sie wüßte, daß nicht Gudmund der Täter sei.
maedchenvommoorhof_8_f000056|Hast du das Gudmund nicht gleich gesagt?|Hast du das Gudmund nicht gleich gesagt?
maedchenvommoorhof_8_f000057|Nein, ich sage es jetzt dir, Hildur.|Nein, ich sage es jetzt dir, Hildur.
maedchenvommoorhof_8_f000058|Kein andrer weiß es.|Kein andrer weiß es.
maedchenvommoorhof_8_f000059|Und warum kommst du mit dieser Nachricht zu mir?|Und warum kommst du mit dieser Nachricht zu mir?
maedchenvommoorhof_8_f000060|Damit es zwischen euch wieder gut werde.|Damit es zwischen euch wieder gut werde.
maedchenvommoorhof_8_f000061|Auch er wird wohl bald erfahren, daß er nichts Böses getan hat, aber ich will, daß du wie von selbst zu ihm kommst, Hildur, und es gut machst.|Auch er wird wohl bald erfahren, daß er nichts Böses getan hat, aber ich will, daß du wie von selbst zu ihm kommst, Hildur, und es gut machst.
maedchenvommoorhof_8_f000062|Ich soll nicht sagen, daß ich von seiner Schuldlosigkeit weiß?|Ich soll nicht sagen, daß ich von seiner Schuldlosigkeit weiß?
maedchenvommoorhof_8_f000063|Du sollst ganz von selbst kommen, Hildur, und ihm nie verraten, daß ich mit dir gesprochen habe.|Du sollst ganz von selbst kommen, Hildur, und ihm nie verraten, daß ich mit dir gesprochen habe.
