zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_46_lasswitz_f000323|»Noch eins, Hil, noch eine Frage.|Noch eins, Hil, noch eine Frage.
zweiplaneten_46_lasswitz_f000324|Schenken Sie mir noch einen Augenblick.|Schenken Sie mir noch einen Augenblick.
zweiplaneten_46_lasswitz_f000325|Ich möchte wissen: Was halten Sie von der Gefahr, die der Aufenthalt auf dem Mars für die Menschen bietet?|Ich möchte wissen: Was halten Sie von der Gefahr, die der Aufenthalt auf dem Mars für die Menschen bietet?
zweiplaneten_46_lasswitz_f000326|Glauben Sie, daß diejenigen, die dort waren, zum Beispiel unsre Freunde, den Keim der Krankheit in sich aufgenommen haben könnten?|Glauben Sie, daß diejenigen, die dort waren, zum Beispiel unsre Freunde, den Keim der Krankheit in sich aufgenommen haben könnten?
zweiplaneten_46_lasswitz_f000327|Ein leichtes Lächeln spielte um Hils Züge, als er antwortete:|Ein leichtes Lächeln spielte um Hils Züge, als er antwortete:
zweiplaneten_46_lasswitz_f000328|»Für Ihre Person können Sie ganz unbesorgt sein.|Für Ihre Person können Sie ganz unbesorgt sein.
zweiplaneten_46_lasswitz_f000329|Bei Ihrem Numenblut und Ihrer Bevorzugung der chemischen Nahrungsmittel«. Ell winkte mit der Hand.|Bei Ihrem Numenblut und Ihrer Bevorzugung der chemischen Nahrungsmittel. Ell winkte mit der Hand.
zweiplaneten_46_lasswitz_f000330|»Nicht doch, ich dachte wirklich nicht an mich, ich dachte zum Beispiel Saltner und die Forschungs- und Vergnügungsreisenden.|Nicht doch, ich dachte wirklich nicht an mich, ich dachte zum Beispiel Saltner und die Forschungs- und Vergnügungsreisenden.
zweiplaneten_46_lasswitz_f000331|Wir können ja jetzt kaum Raumschiffe genug stellen.|Wir können ja jetzt kaum Raumschiffe genug stellen.
zweiplaneten_46_lasswitz_f000332|Glauben Sie, daß wir den Verkehr beschränken müßten?|Glauben Sie, daß wir den Verkehr beschränken müßten?
zweiplaneten_46_lasswitz_f000333|»In dieser Frage haben wir noch keine Erfahrung.|In dieser Frage haben wir noch keine Erfahrung.
zweiplaneten_46_lasswitz_f000334|Indessen könnte es kein Bedenken erregen|Indessen könnte es kein Bedenken erregen
zweiplaneten_46_lasswitz_f000335|wenn man die Impfung zum Beispiel für das Betreten der Raumschiffe unter irgendeinem Vorwand zur Bedingung machte.|wenn man die Impfung zum Beispiel für das Betreten der Raumschiffe unter irgendeinem Vorwand zur Bedingung machte.
zweiplaneten_46_lasswitz_f000336|»Aber diejenigen, die nun schon zurück sind?|Aber diejenigen, die nun schon zurück sind?
zweiplaneten_46_lasswitz_f000337|»Saltner ist auf der Reise nach dem Mars geimpft worden, weil ihm sonst das Ehrenrecht als Nume nicht hätte erteilt werden können.|Saltner ist auf der Reise nach dem Mars geimpft worden, weil ihm sonst das Ehrenrecht als Nume nicht hätte erteilt werden können.
zweiplaneten_46_lasswitz_f000338|Und was was Frau Torm betrifft, so kann ich Sie ebenfalls beruhigen.|Und was was Frau Torm betrifft, so kann ich Sie ebenfalls beruhigen.
zweiplaneten_46_lasswitz_f000339|Ich habe es für gut gehalten, während ihrer Krankheit nach und nach die bei uns vorgeschriebenen Impfungen zu vollziehen|Ich habe es für gut gehalten, während ihrer Krankheit nach und nach die bei uns vorgeschriebenen Impfungen zu vollziehen
zweiplaneten_46_lasswitz_f000340|und ich halte sie jetzt überhaupt für vollständig wiederhergestellt.|und ich halte sie jetzt überhaupt für vollständig wiederhergestellt.
zweiplaneten_46_lasswitz_f000341|Ell, der Hil gespannt angeblickt hatte, atmete auf.|Ell, der Hil gespannt angeblickt hatte, atmete auf.
zweiplaneten_46_lasswitz_f000342|Er sagte jetzt lächelnd: »Und halten Sie mich selbst für einen Ansteckungsherd?|Er sagte jetzt lächelnd: Und halten Sie mich selbst für einen Ansteckungsherd?
zweiplaneten_46_lasswitz_f000343|»Nein, ich halte Sie in dieser Hinsicht für ganz ungefährlich. »Ich danke Ihnen.|Nein, ich halte Sie in dieser Hinsicht für ganz ungefährlich. Ich danke Ihnen.
zweiplaneten_46_lasswitz_f000344|Und wir wollen den Mut nicht verlieren.|Und wir wollen den Mut nicht verlieren.
zweiplaneten_46_lasswitz_f000345|Ich will nachdenken, was wir tun können.|Ich will nachdenken, was wir tun können.
zweiplaneten_46_lasswitz_f000346|Leben Sie wohl, und schonen Sie sich.|Leben Sie wohl, und schonen Sie sich.
zweiplaneten_46_lasswitz_f000347|Bestimmen Sie, wann Sie Höhenluft schöpfen wollen, das Luftschiff soll zu Ihrer Verfügung stehen.|Bestimmen Sie, wann Sie Höhenluft schöpfen wollen, das Luftschiff soll zu Ihrer Verfügung stehen.
zweiplaneten_46_lasswitz_f000348|Er begleitete Hil bis an die Tür und schüttelte ihm die Hand. Dann kehrte er zurück.|Er begleitete Hil bis an die Tür und schüttelte ihm die Hand. Dann kehrte er zurück.
zweiplaneten_46_lasswitz_f000349|Ein Seufzer entrang sich seiner Brust.|Ein Seufzer entrang sich seiner Brust.
zweiplaneten_46_lasswitz_f000350|Lange schritt er im Zimmer auf und ab.|Lange schritt er im Zimmer auf und ab.
zweiplaneten_46_lasswitz_f000351|»Nur den Mut nicht verlieren!« sagte er zu sich selbst.|Nur den Mut nicht verlieren! sagte er zu sich selbst.
zweiplaneten_46_lasswitz_f000352|Dann glitt ein stilles Lächeln über seine Züge.|Dann glitt ein stilles Lächeln über seine Züge.
zweiplaneten_46_lasswitz_f000353|»Ja, das wird mir gut tun«, dachte er.|Ja, das wird mir gut tun, dachte er.
zweiplaneten_46_lasswitz_f000354|»Den Wagen!« rief er ins Telephon.|Den Wagen! rief er ins Telephon.
zweiplaneten_47_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_47_lasswitz_f000002|Kapitel Siebenundvierzig. Isma.|Kapitel Siebenundvierzig. Isma.
zweiplaneten_47_lasswitz_f000003|Die Martier besaßen ein Verfahren zur Herstellung von Akkumulatoren, die nur ein sehr geringes Gewicht hatten.|Die Martier besaßen ein Verfahren zur Herstellung von Akkumulatoren, die nur ein sehr geringes Gewicht hatten.
zweiplaneten_47_lasswitz_f000004|Diese waren sehr bald auf der Erde eingeführt worden und hatten das Fuhrwesen umgestaltet.|Diese waren sehr bald auf der Erde eingeführt worden und hatten das Fuhrwesen umgestaltet.
zweiplaneten_47_lasswitz_f000005|In Berlin waren die Pferde vollständig aus dem Verkehr geschwunden.|In Berlin waren die Pferde vollständig aus dem Verkehr geschwunden.
zweiplaneten_47_lasswitz_f000006|Die Nähe größerer Tiere war den Martiern wegen der damit verbundenen Unreinlichkeit und des Geruches ein Abscheu|Die Nähe größerer Tiere war den Martiern wegen der damit verbundenen Unreinlichkeit und des Geruches ein Abscheu
zweiplaneten_47_lasswitz_f000007|und der Umgang der Menschen mit ihren Haustieren erschien ihnen als einer der barbarischsten Züge im Leben der Erde.|und der Umgang der Menschen mit ihren Haustieren erschien ihnen als einer der barbarischsten Züge im Leben der Erde.
zweiplaneten_47_lasswitz_f000008|In der Hauptstadt waren jetzt nur noch elektrische Wagen und Droschken im Gebrauch.|In der Hauptstadt waren jetzt nur noch elektrische Wagen und Droschken im Gebrauch.
zweiplaneten_47_lasswitz_f000009|Der elegante Wagen des Kultoramts führte Ell durch einen großen Teil der Stadt, vom fernen Südwest bis zum Südost.|Der elegante Wagen des Kultoramts führte Ell durch einen großen Teil der Stadt, vom fernen Südwest bis zum Südost.
zweiplaneten_47_lasswitz_f000010|Als Ziel hatte er die Bildungsanstalt siebenundzwanzig angegeben|Als Ziel hatte er die Bildungsanstalt siebenundzwanzig angegeben
zweiplaneten_47_lasswitz_f000011|die sich in der ehemaligen Kaserne des dritten Garde-Infanterieregiments befand.|die sich in der ehemaligen Kaserne des dritten Garde-Infanterieregiments befand.
zweiplaneten_47_lasswitz_f000012|Vor einer Nebenpforte des großen Gebäudes verließ Ell den Wagen, der dort warten sollte.|Vor einer Nebenpforte des großen Gebäudes verließ Ell den Wagen, der dort warten sollte.
zweiplaneten_47_lasswitz_f000013|Er trat in das Haus, aber er durchschritt nur einige Korridore und Höfe und verließ es wieder durch einen Ausgang nach der Zeughofstraße.|Er trat in das Haus, aber er durchschritt nur einige Korridore und Höfe und verließ es wieder durch einen Ausgang nach der Zeughofstraße.
zweiplaneten_47_lasswitz_f000014|Von hier kehrte er in die Wrangelstraße zurück und trat nach wenigen Minuten in eines der dortigen Mietshäuser|Von hier kehrte er in die Wrangelstraße zurück und trat nach wenigen Minuten in eines der dortigen Mietshäuser
zweiplaneten_47_lasswitz_f000015|wo er in dem nach dem Garten zu liegenden Flügel drei Treppen hinaufstieg. Hier wohnte Isma.|wo er in dem nach dem Garten zu liegenden Flügel drei Treppen hinaufstieg. Hier wohnte Isma.
zweiplaneten_47_lasswitz_f000016|Sie saß an dem weitgeöffneten Fenster|Sie saß an dem weitgeöffneten Fenster
zweiplaneten_47_lasswitz_f000017|aus welchem ihr Blick über die regenfeuchten Bäume des Gartens nach den dahinter anfragenden Häusermassen und Schornsteinen schweifte.|aus welchem ihr Blick über die regenfeuchten Bäume des Gartens nach den dahinter anfragenden Häusermassen und Schornsteinen schweifte.
zweiplaneten_47_lasswitz_f000018|Das Buch, in dem sie gelesen hatte, lag neben ihr.|Das Buch, in dem sie gelesen hatte, lag neben ihr.
zweiplaneten_47_lasswitz_f000019|Von Zeit zu Zeit, wenn sie ein Geräusch von Tritten zu vernehmen glaubte|Von Zeit zu Zeit, wenn sie ein Geräusch von Tritten zu vernehmen glaubte
zweiplaneten_47_lasswitz_f000020|blickte sie nach der Tür, als erwartete sie, daß sie sich öffnen werde. Und nun klingelte es draußen.|blickte sie nach der Tür, als erwartete sie, daß sie sich öffnen werde. Und nun klingelte es draußen.
zweiplaneten_47_lasswitz_f000021|Sie stand auf und strich sich das Haar aus den Schläfen.|Sie stand auf und strich sich das Haar aus den Schläfen.
zweiplaneten_47_lasswitz_f000022|Dann ging sie auf die Tür zu, aus welcher ihr Ell entgegentrat.|Dann ging sie auf die Tür zu, aus welcher ihr Ell entgegentrat.
zweiplaneten_47_lasswitz_f000023|»Endlich«, sagte er, ihre Hand ergreifend, »endlich wieder einmal bei Ihnen.|Endlich, sagte er, ihre Hand ergreifend, endlich wieder einmal bei Ihnen.
zweiplaneten_47_lasswitz_f000024|Es tat mir zu leid, daß ich unsern letzten Abend nicht einhalten konnte, aber ich durfte die Einladung da oben nicht ablehnen.|Es tat mir zu leid, daß ich unsern letzten Abend nicht einhalten konnte, aber ich durfte die Einladung da oben nicht ablehnen.
zweiplaneten_47_lasswitz_f000025|Fühlen Sie sich auch ganz wohl?|Fühlen Sie sich auch ganz wohl?
zweiplaneten_47_lasswitz_f000026|Sein Blick ruhte mit zärtlicher Besorgnis auf ihren Zügen.|Sein Blick ruhte mit zärtlicher Besorgnis auf ihren Zügen.
zweiplaneten_47_lasswitz_f000027|»Es geht mir besser wie je«, sagte Isma lächelnd.|Es geht mir besser wie je, sagte Isma lächelnd.
zweiplaneten_47_lasswitz_f000028|»Fühlen Sie gar keine Beschwerden? « fragte er weiter.|Fühlen Sie gar keine Beschwerden?  fragte er weiter.
zweiplaneten_47_lasswitz_f000029|»Kein Kopfweh, keine Müdigkeit? »Gar nichts.|Kein Kopfweh, keine Müdigkeit? Gar nichts.
zweiplaneten_47_lasswitz_f000030|Sie fragen ja gerade, als wenn Sie Hil wären. Was haben Sie denn?|Sie fragen ja gerade, als wenn Sie Hil wären. Was haben Sie denn?
zweiplaneten_47_lasswitz_f000031|Ich kann Ihnen wirklich nicht die Freude machen, mich pflegen zu lassen.|Ich kann Ihnen wirklich nicht die Freude machen, mich pflegen zu lassen.
zweiplaneten_47_lasswitz_f000032|Aber wissen Sie, Ell, daß Sie mir eigentlich gar nicht gefallen?|Aber wissen Sie, Ell, daß Sie mir eigentlich gar nicht gefallen?
zweiplaneten_47_lasswitz_f000033|Sie strengen sich offenbar zu sehr an, Sie sehen angegriffen aus und sollten sich mehr schonen.|Sie strengen sich offenbar zu sehr an, Sie sehen angegriffen aus und sollten sich mehr schonen.
zweiplaneten_47_lasswitz_f000034|»Ach, Isma, davon kann keine Rede sein«, erwiderte Ell, indem er sich neben ihr niederließ.|Ach, Isma, davon kann keine Rede sein, erwiderte Ell, indem er sich neben ihr niederließ.
zweiplaneten_47_lasswitz_f000035|»Mir ist manchmal zumute, als wüchse mir die Arbeit über den Kopf.|Mir ist manchmal zumute, als wüchse mir die Arbeit über den Kopf.
zweiplaneten_47_lasswitz_f000036|Und dann die Sorge! Doch nichts davon! Dann gibt es kein andres Heilmittel für mich, als hier die drei Treppen hinaufzusteigen«.|Und dann die Sorge! Doch nichts davon! Dann gibt es kein andres Heilmittel für mich, als hier die drei Treppen hinaufzusteigen.
zweiplaneten_47_lasswitz_f000037|»Das freut mich, daß Ihnen das Treppensteigen so gut bekommt.|Das freut mich, daß Ihnen das Treppensteigen so gut bekommt.
zweiplaneten_47_lasswitz_f000038|Ich könnte ja auch noch eine Stiege höher ziehen. »Oh, es genügt.|Ich könnte ja auch noch eine Stiege höher ziehen. Oh, es genügt.
zweiplaneten_47_lasswitz_f000039|Wenn ich nur die schmale Hand fassen und Ihnen in die lieben Augen sehen kann! Dann möchte ich wieder an die Menschen glauben und wieder hoffen!«.|Wenn ich nur die schmale Hand fassen und Ihnen in die lieben Augen sehen kann! Dann möchte ich wieder an die Menschen glauben und wieder hoffen!.
zweiplaneten_47_lasswitz_f000040|»Sie dürfen so nicht sprechen, Ell, Sie ängstigen mich.|Sie dürfen so nicht sprechen, Ell, Sie ängstigen mich.
zweiplaneten_47_lasswitz_f000041|Auf dem Weg zu Ihrem hohen Ziel darf es kein Schwanken geben.|Auf dem Weg zu Ihrem hohen Ziel darf es kein Schwanken geben.
zweiplaneten_47_lasswitz_f000042|Dazu waren unsre Opfer zu groß, zu schmerzlich.|Dazu waren unsre Opfer zu groß, zu schmerzlich.
zweiplaneten_47_lasswitz_f000043|Sie hob die Augen, die mit Tränen kämpften, wie bittend zu ihm empor. »Verzeihen Sie mir, Isma.|Sie hob die Augen, die mit Tränen kämpften, wie bittend zu ihm empor. Verzeihen Sie mir, Isma.
zweiplaneten_47_lasswitz_f000044|Ich weiß es längst, daß ich für mich kein Glück beanspruchen darf, der ich mir anmaßte, es der Menschheit zu bringen.|Ich weiß es längst, daß ich für mich kein Glück beanspruchen darf, der ich mir anmaßte, es der Menschheit zu bringen.
zweiplaneten_47_lasswitz_f000045|Aber wenn ich hier bei Ihnen sitze und Sie wissen, daß ich die neue Kraft hier schöpfe, ach|Aber wenn ich hier bei Ihnen sitze und Sie wissen, daß ich die neue Kraft hier schöpfe, ach
zweiplaneten_47_lasswitz_f000046|dann ist es auch so unendlich schwer, auf das einzige zu verzichten, was ich je vom Leben für mich ersehnte.|dann ist es auch so unendlich schwer, auf das einzige zu verzichten, was ich je vom Leben für mich ersehnte.
zweiplaneten_47_lasswitz_f000047|Und immer fester wird mir die Überzeugung, daß beides zusammengehört, wenn ich meinen Lauf erfüllen soll.|Und immer fester wird mir die Überzeugung, daß beides zusammengehört, wenn ich meinen Lauf erfüllen soll.
zweiplaneten_47_lasswitz_f000048|»Noch ist die Zeit nicht da, von uns zu sprechen.|Noch ist die Zeit nicht da, von uns zu sprechen.
zweiplaneten_47_lasswitz_f000049|OEll, sagen Sie, was quält Sie, was ist geschehen?|OEll, sagen Sie, was quält Sie, was ist geschehen?
zweiplaneten_47_lasswitz_f000050|Ich kenne Sie kaum wieder, noch vor kurzem waren Sie so siegesgewiß. »Es geht wohl vorüber.|Ich kenne Sie kaum wieder, noch vor kurzem waren Sie so siegesgewiß. Es geht wohl vorüber.
zweiplaneten_47_lasswitz_f000051|Gerade heute haben sich allerlei Nachrichten gehäuft, die mir Schwierigkeiten machen.|Gerade heute haben sich allerlei Nachrichten gehäuft, die mir Schwierigkeiten machen.
zweiplaneten_47_lasswitz_f000052|Die neuen Verhältnisse wirken ungünstig auf die Nume, das ruhige Gleichgewicht, das sie in den festen Kulturzuständen des Mars haben|Die neuen Verhältnisse wirken ungünstig auf die Nume, das ruhige Gleichgewicht, das sie in den festen Kulturzuständen des Mars haben
zweiplaneten_47_lasswitz_f000053|wird zerstört, es entstehen Konflikte, und das Ende vom Liede wird sein, daß ich von beiden Seiten für alles verantwortlich gemacht werde. »Das müssen Sie tragen.|wird zerstört, es entstehen Konflikte, und das Ende vom Liede wird sein, daß ich von beiden Seiten für alles verantwortlich gemacht werde. Das müssen Sie tragen.
zweiplaneten_47_lasswitz_f000054|Und Sie wußten es im voraus, Ell, als Sie das verantwortliche Amt annahmen, daß Sie angefeindet werden würden. Erinnern Sie sich noch?|Und Sie wußten es im voraus, Ell, als Sie das verantwortliche Amt annahmen, daß Sie angefeindet werden würden. Erinnern Sie sich noch?
zweiplaneten_47_lasswitz_f000055|Es war kurz nach meiner Krankheit, als ich wieder den ersten größeren Ausflug mit ihnen unternahm|Es war kurz nach meiner Krankheit, als ich wieder den ersten größeren Ausflug mit ihnen unternahm
zweiplaneten_47_lasswitz_f000056|zur Probe, wie Hil sagte, ob ich das Reisen vertrüge.|zur Probe, wie Hil sagte, ob ich das Reisen vertrüge.
zweiplaneten_47_lasswitz_f000057|Wir waren nach den großen Schleusen der Emm-Kanäle gefahren, dort zeigten Sie mir|Wir waren nach den großen Schleusen der Emm-Kanäle gefahren, dort zeigten Sie mir
zweiplaneten_47_lasswitz_f000058|wie das Wasser auf das zweihundert Meter hohe Wüstenplateau gehoben wird.|wie das Wasser auf das zweihundert Meter hohe Wüstenplateau gehoben wird.
