mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_14_pirandello_f000204|Chi ero io? Nessuno! Non esistevo io, per la legge.|Chi ero io? Nessuno! Non esistevo io, per la legge.
mattiapascal_14_pirandello_f000205|E chiunque, ormai, poteva rubarmi;|E chiunque, ormai, poteva rubarmi;
mattiapascal_14_pirandello_f000206|e io, zitto! Ma, tutto questo, Papiano non poteva saperlo. E dunque?|e io, zitto! Ma, tutto questo, Papiano non poteva saperlo. E dunque?
mattiapascal_14_pirandello_f000207|— Come ha potuto farlo? — dissi quasi tra me.|- Come ha potuto farlo? - dissi quasi tra me.
mattiapascal_14_pirandello_f000208|— Da che gli è potuto venire tanto ardire?|- Da che gli è potuto venire tanto ardire?
mattiapascal_14_pirandello_f000209|Adriana levò il volto dalle mani e mi guardò stupita, come per dire: «E non lo sai?|Adriana levò il volto dalle mani e mi guardò stupita, come per dire: E non lo sai?
mattiapascal_14_pirandello_f000210|— Ah, già! — feci, comprendendo a un tratto.|- Ah, già! - feci, comprendendo a un tratto.
mattiapascal_14_pirandello_f000211|— Ma lei lo denunzierà! — esclamò ella, levandosi in piedi.|- Ma lei lo denunzierà! - esclamò ella, levandosi in piedi.
mattiapascal_14_pirandello_f000212|— Mi lasci, la prego, mi lasci chiamare il babbo...|- Mi lasci, la prego, mi lasci chiamare il babbo...
mattiapascal_14_pirandello_f000213|Lo denunzierà subito! Feci in tempo a trattenerla ancora una volta.|Lo denunzierà subito! Feci in tempo a trattenerla ancora una volta.
mattiapascal_14_pirandello_f000214|Non ci mancava altro, che ora, per giunta|Non ci mancava altro, che ora, per giunta
mattiapascal_14_pirandello_f000215|Adriana mi costringesse a denunziare il furto! Non bastava che mi avessero rubato, come niente, dodici mila lire?|Adriana mi costringesse a denunziare il furto! Non bastava che mi avessero rubato, come niente, dodici mila lire?
mattiapascal_14_pirandello_f000216|Dovevo anche temere che il furto si conoscesse;|Dovevo anche temere che il furto si conoscesse;
mattiapascal_14_pirandello_f000217|pregare, scongiurare Adriana che non lo gridasse forte, non lo dicesse a nessuno, per carità?|pregare, scongiurare Adriana che non lo gridasse forte, non lo dicesse a nessuno, per carità?
mattiapascal_14_pirandello_f000218|Ma che! Adriana – e ora lo intendo bene – non poteva assolutamente permettere che io tacessi e obbligassi anche lei al silenzio|Ma che! Adriana - e ora lo intendo bene - non poteva assolutamente permettere che io tacessi e obbligassi anche lei al silenzio
mattiapascal_14_pirandello_f000219|non poteva in verun modo accettare quella che pareva una mia generosità|non poteva in verun modo accettare quella che pareva una mia generosità
mattiapascal_14_pirandello_f000220|per tante ragioni: prima per il suo amore, poi per l'onorabilità della sua casa, e anche per me e per l'odio ch'ella portava al cognato.|per tante ragioni: prima per il suo amore, poi per l'onorabilità della sua casa, e anche per me e per l'odio ch'ella portava al cognato.
mattiapascal_14_pirandello_f000221|Ma in quel frangente, la sua giusta ribellione mi parve proprio di più: esasperato|Ma in quel frangente, la sua giusta ribellione mi parve proprio di più: esasperato
mattiapascal_14_pirandello_f000222|le gridai: — Lei si starà zitta: gliel'impongo! Non dirà nulla a nessuno, ha capito?|le gridai: - Lei si starà zitta: gliel'impongo! Non dirà nulla a nessuno, ha capito?
mattiapascal_14_pirandello_f000223|Vuole uno scandalo?|Vuole uno scandalo?
mattiapascal_14_pirandello_f000224|— No! no! — s'affrettò a protestare, piangendo, la povera Adriana.|- No! no! - s'affrettò a protestare, piangendo, la povera Adriana.
mattiapascal_14_pirandello_f000225|— Voglio liberar la mia casa dall'ignominia di quell'uomo! — Ma egli negherà! — incalzai io.|- Voglio liberar la mia casa dall'ignominia di quell'uomo! - Ma egli negherà! - incalzai io.
mattiapascal_14_pirandello_f000226|— E allora, lei, tutti di casa innanzi al giudice...|- E allora, lei, tutti di casa innanzi al giudice...
mattiapascal_14_pirandello_f000227|Non capisce?|Non capisce?
mattiapascal_14_pirandello_f000228|— Si, benissimo! — rispose Adriana con fuoco, tutta vibrante di sdegno.|- Si, benissimo! - rispose Adriana con fuoco, tutta vibrante di sdegno.
mattiapascal_14_pirandello_f000229|— Neghi, neghi pure! Ma noi, per conto nostro, abbiamo altro, creda, da dire contro di lui.|- Neghi, neghi pure! Ma noi, per conto nostro, abbiamo altro, creda, da dire contro di lui.
mattiapascal_14_pirandello_f000230|Lei lo denunzii, non abbia riguardo, non tema per noi...|Lei lo denunzii, non abbia riguardo, non tema per noi...
mattiapascal_14_pirandello_f000231|Ci farà un bene, creda, un gran bene! Vendicherà la povera sorella mia...|Ci farà un bene, creda, un gran bene! Vendicherà la povera sorella mia...
mattiapascal_14_pirandello_f000232|Dovrebbe intenderlo, signor Meis, che mi offenderebbe, se non lo facesse.|Dovrebbe intenderlo, signor Meis, che mi offenderebbe, se non lo facesse.
mattiapascal_14_pirandello_f000233|Io voglio, voglio che lei lo denunzii.|Io voglio, voglio che lei lo denunzii.
mattiapascal_14_pirandello_f000234|Se non lo fa lei, lo farò io! Come vuole che io rimanga con mio padre sotto quest'onta! No! no! no! E poi...|Se non lo fa lei, lo farò io! Come vuole che io rimanga con mio padre sotto quest'onta! No! no! no! E poi...
mattiapascal_14_pirandello_f000235|Me la strinsi fra le braccia: non pensai più al denaro rubato, vedendola soffrire così|Me la strinsi fra le braccia: non pensai più al denaro rubato, vedendola soffrire così
mattiapascal_14_pirandello_f000236|smaniare, disperata: e le promisi che avrei fatto com'ella voleva purché si calmasse.|smaniare, disperata: e le promisi che avrei fatto com'ella voleva purché si calmasse.
mattiapascal_14_pirandello_f000237|No, che onta? non c'era alcuna onta per lei, né per il suo babbo;|No, che onta? non c'era alcuna onta per lei, né per il suo babbo;
mattiapascal_14_pirandello_f000238|io sapevo su chi ricadeva la colpa di quel furto;|io sapevo su chi ricadeva la colpa di quel furto;
mattiapascal_14_pirandello_f000239|Papiano aveva stimato che il mio amore per lei valesse bene dodicimila lire, e io dovevo dimostrargli di no?|Papiano aveva stimato che il mio amore per lei valesse bene dodicimila lire, e io dovevo dimostrargli di no?
mattiapascal_14_pirandello_f000240|Denunziarlo? Ebbene, sì, l'avrei fatto, non per me, ma per liberar la casa di lei da quel miserabile:|Denunziarlo? Ebbene, sì, l'avrei fatto, non per me, ma per liberar la casa di lei da quel miserabile:
mattiapascal_14_pirandello_f000241|sì, ma a un patto: che ella prima di tutto si calmasse, non piangesse più così, via! via! e poi,|sì, ma a un patto: che ella prima di tutto si calmasse, non piangesse più così, via! via! e poi,
mattiapascal_14_pirandello_f000242|che mi giurasse su quel che aveva di più caro al mondo, che non avrebbe parlato a nessuno, a nessuno,|che mi giurasse su quel che aveva di più caro al mondo, che non avrebbe parlato a nessuno, a nessuno,
mattiapascal_14_pirandello_f000243|di quel furto, se prima io non consultavo un avvocato per tutte le conseguenze che|di quel furto, se prima io non consultavo un avvocato per tutte le conseguenze che
mattiapascal_14_pirandello_f000244|in tanta sovreccitazione, né io né lei potevamo prevedere.|in tanta sovreccitazione, né io né lei potevamo prevedere.
mattiapascal_14_pirandello_f000245|— Me lo giura? Su ciò che ha di più caro?|- Me lo giura? Su ciò che ha di più caro?
mattiapascal_14_pirandello_f000246|Me lo giurò, e con uno sguardo, tra le lagrime, mi fece intendere su che cosa me lo giurava, che cosa avesse di più caro.|Me lo giurò, e con uno sguardo, tra le lagrime, mi fece intendere su che cosa me lo giurava, che cosa avesse di più caro.
mattiapascal_14_pirandello_f000247|Povera Adriana! Rimasi lì, solo, in mezzo alla camera, sbalordito, vuoto, annientato, come se tutto il mondo per me si fosse fatto vano.|Povera Adriana! Rimasi lì, solo, in mezzo alla camera, sbalordito, vuoto, annientato, come se tutto il mondo per me si fosse fatto vano.
mattiapascal_14_pirandello_f000248|Quanto tempo passò prima ch'io mi riavessi?|Quanto tempo passò prima ch'io mi riavessi?
mattiapascal_14_pirandello_f000249|E come mi riebbi? Scemo... scemo!...|E come mi riebbi? Scemo... scemo!...
mattiapascal_14_pirandello_f000250|Come uno scemo, andai a osservare lo sportello dello stipetto, per vedere se non ci fosse qualche traccia di violenza.|Come uno scemo, andai a osservare lo sportello dello stipetto, per vedere se non ci fosse qualche traccia di violenza.
mattiapascal_14_pirandello_f000251|No: nessuna traccia: era stato aperto pulitamente, con un grimaldello, mentr'io custodivo con tanta cura in tasca la chiave.|No: nessuna traccia: era stato aperto pulitamente, con un grimaldello, mentr'io custodivo con tanta cura in tasca la chiave.
mattiapascal_14_pirandello_f000252|— E non si sente lei, — mi aveva domandato il Paleari alla fine dell'ultima seduta|- E non si sente lei, - mi aveva domandato il Paleari alla fine dell'ultima seduta
mattiapascal_14_pirandello_f000253|— non si sente lei come se le avessero sottratto qualche cosa?|- non si sente lei come se le avessero sottratto qualche cosa?
mattiapascal_14_pirandello_f000254|Dodici mila lire! Di nuovo il pensiero della mia assoluta impotenza, della mia nullità, mi assalì, mi schiacciò.|Dodici mila lire! Di nuovo il pensiero della mia assoluta impotenza, della mia nullità, mi assalì, mi schiacciò.
mattiapascal_14_pirandello_f000255|Il caso che potessero rubarmi e che io fossi costretto a restar zitto e finanche con la paura che il furto fosse scoperto|Il caso che potessero rubarmi e che io fossi costretto a restar zitto e finanche con la paura che il furto fosse scoperto
mattiapascal_14_pirandello_f000256|come se l'avessi commesso io e non un ladro a mio danno, non mi s'era davvero affacciato alla mente.|come se l'avessi commesso io e non un ladro a mio danno, non mi s'era davvero affacciato alla mente.
mattiapascal_14_pirandello_f000257|Dodici mila lire? Ma poche! poche! Possono rubarmi tutto, levarmi fin la camicia di dosso;|Dodici mila lire? Ma poche! poche! Possono rubarmi tutto, levarmi fin la camicia di dosso;
mattiapascal_14_pirandello_f000258|e io, zitto! Che diritto ho io di parlare?|e io, zitto! Che diritto ho io di parlare?
mattiapascal_14_pirandello_f000259|La prima cosa che mi domanderebbero, sarebbe questa: «E voi chi siete?|La prima cosa che mi domanderebbero, sarebbe questa: E voi chi siete?
mattiapascal_14_pirandello_f000260|Donde vi era venuto quel denaro?|Donde vi era venuto quel denaro?
mattiapascal_14_pirandello_f000261|Ma senza denunziarlo... vediamo un po'! se questa sera io lo afferro per il collo e gli grido:|Ma senza denunziarlo... vediamo un po'! se questa sera io lo afferro per il collo e gli grido:
mattiapascal_14_pirandello_f000262|«Qua subito il denaro che hai tolto di là, dallo stipetto, pezzo di ladro!».|Qua subito il denaro che hai tolto di là, dallo stipetto, pezzo di ladro!.
mattiapascal_14_pirandello_f000263|Egli strilla; nega;|Egli strilla; nega;
mattiapascal_14_pirandello_f000264|può forse dirmi: «Sissignore, eccolo qua, l'ho preso per isbaglio...|può forse dirmi: Sissignore, eccolo qua, l'ho preso per isbaglio...
mattiapascal_14_pirandello_f000265|E allora? Ma c'è il caso che mi dia anche querela per diffamazione.|E allora? Ma c'è il caso che mi dia anche querela per diffamazione.
mattiapascal_14_pirandello_f000266|Zitto, dunque, zitto! M'è sembrata una fortuna l'esser creduto morto?|Zitto, dunque, zitto! M'è sembrata una fortuna l'esser creduto morto?
mattiapascal_14_pirandello_f000267|Ebbene, e sono morto davvero. Morto? Peggio che morto;|Ebbene, e sono morto davvero. Morto? Peggio che morto;
mattiapascal_14_pirandello_f000268|me l'ha ricordato il signor Anselmo: i morti non debbono più morire, e io sì: io sono ancora vivo per la morte e morto per la vita.|me l'ha ricordato il signor Anselmo: i morti non debbono più morire, e io sì: io sono ancora vivo per la morte e morto per la vita.
mattiapascal_14_pirandello_f000269|Che vita infatti può esser più la mia?|Che vita infatti può esser più la mia?
mattiapascal_14_pirandello_f000270|La noja di prima, la solitudine, la compagnia di me stesso?|La noja di prima, la solitudine, la compagnia di me stesso?
mattiapascal_14_pirandello_f000271|Mi nascosi il volto con le mani;|Mi nascosi il volto con le mani;
mattiapascal_14_pirandello_f000272|caddi a sedere su la poltrona.|caddi a sedere su la poltrona.
mattiapascal_14_pirandello_f000273|Ah, fossi stato almeno un mascalzone! avrei potuto forse adattarmi a restar così, sospeso nell'incertezza della sorte|Ah, fossi stato almeno un mascalzone! avrei potuto forse adattarmi a restar così, sospeso nell'incertezza della sorte
mattiapascal_14_pirandello_f000274|abbandonato al caso, esposto a un rischio continuo, senza base, senza consistenza.|abbandonato al caso, esposto a un rischio continuo, senza base, senza consistenza.
mattiapascal_14_pirandello_f000275|Ma io? Io, no. E che fare, dunque? Andarmene via? E dove? E Adriana?|Ma io? Io, no. E che fare, dunque? Andarmene via? E dove? E Adriana?
mattiapascal_14_pirandello_f000276|Ma che potevo fare per lei? Nulla... nulla...|Ma che potevo fare per lei? Nulla... nulla...
mattiapascal_14_pirandello_f000277|Come andarmene però così, senz'alcuna spiegazione, dopo quanto era accaduto?|Come andarmene però così, senz'alcuna spiegazione, dopo quanto era accaduto?
mattiapascal_14_pirandello_f000278|Ella ne avrebbe cercato la causa in quel furto;|Ella ne avrebbe cercato la causa in quel furto;
mattiapascal_14_pirandello_f000279|avrebbe detto: «E perché ha voluto salvare il reo, e punir me innocente?|avrebbe detto: E perché ha voluto salvare il reo, e punir me innocente?
mattiapascal_14_pirandello_f000280|Ah no, no, povera Adriana! Ma, d'altra parte, non potendo far nulla come sperare di rendere men trista la mia parte verso di lei?|Ah no, no, povera Adriana! Ma, d'altra parte, non potendo far nulla come sperare di rendere men trista la mia parte verso di lei?
mattiapascal_14_pirandello_f000281|Per forza dovevo dimostrarmi inconseguente e crudele.|Per forza dovevo dimostrarmi inconseguente e crudele.
mattiapascal_14_pirandello_f000282|L'inconseguenza, la crudeltà erano della mia stessa sorte, e io per il primo ne soffrivo.|L'inconseguenza, la crudeltà erano della mia stessa sorte, e io per il primo ne soffrivo.
mattiapascal_14_pirandello_f000283|Fin Papiano, il ladro, commettendo il furto, era stato più conseguente e men crudele di quel che pur troppo avrei dovuto dimostrarmi io.|Fin Papiano, il ladro, commettendo il furto, era stato più conseguente e men crudele di quel che pur troppo avrei dovuto dimostrarmi io.
