ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_13_barrili_f000166|--Son essi la mia consolazione e la mia forza; --diceva monna Ghita.|--Son essi la mia consolazione e la mia forza; --diceva monna Ghita.
ritrattodeldiavolo_13_barrili_f000167|--Quando sento che il mio cuore non regge più a tanti dispiaceri, guardo quelle due testoline bionde. Ecco una gioia che Iddio mi concede;|--Quando sento che il mio cuore non regge più a tanti dispiaceri, guardo quelle due testoline bionde. Ecco una gioia che Iddio mi concede;
ritrattodeldiavolo_13_barrili_f000168|--soggiungeva ella sorridendo malinconicamente;|--soggiungeva ella sorridendo malinconicamente;
ritrattodeldiavolo_13_barrili_f000169|--e quello che Iddio mi ha concesso non mi toglie nessuno.|--e quello che Iddio mi ha concesso non mi toglie nessuno.
ritrattodeldiavolo_13_barrili_f000170|Messer Dardano Acciaiuoli ammirò quella serenità di mente, e, presa la mano di Ghita,|Messer Dardano Acciaiuoli ammirò quella serenità di mente, e, presa la mano di Ghita,
ritrattodeldiavolo_13_barrili_f000171|l'accostò da buon cavaliere alle labbra. --Dio vi guardi, madonna; --diss'egli;|l'accostò da buon cavaliere alle labbra. --Dio vi guardi, madonna; --diss'egli;
ritrattodeldiavolo_13_barrili_f000172|--con tali conforti voi non potrete mai reputarvi infelice.|--con tali conforti voi non potrete mai reputarvi infelice.
ritrattodeldiavolo_13_barrili_f000173|Dopo ciò, messer Dardano escì, per andare in cerca di Spinello, che dipingeva allora nella chiesa di Sant'Agnolo.|Dopo ciò, messer Dardano escì, per andare in cerca di Spinello, che dipingeva allora nella chiesa di Sant'Agnolo.
ritrattodeldiavolo_13_barrili_f000174|Vi accenno senza descriverla, che oramai s'andrebbe troppo per le lunghe|Vi accenno senza descriverla, che oramai s'andrebbe troppo per le lunghe
ritrattodeldiavolo_13_barrili_f000175|la scena commovente di quell'incontro tra il vecchio gentiluomo fiorentino e il suo protetto di via della Scala.|la scena commovente di quell'incontro tra il vecchio gentiluomo fiorentino e il suo protetto di via della Scala.
ritrattodeldiavolo_13_barrili_f000176|A mala pena lo vide comparire sul ponte, Spinello depose la tavolozza, si calò a furia dal trespolo su cui stava seduto|A mala pena lo vide comparire sul ponte, Spinello depose la tavolozza, si calò a furia dal trespolo su cui stava seduto
ritrattodeldiavolo_13_barrili_f000177|e andò a piangero lagrime di tenerezza tra le braccia di messer Dardano.|e andò a piangero lagrime di tenerezza tra le braccia di messer Dardano.
ritrattodeldiavolo_13_barrili_f000178|--Su, su, ragazzo mio!--disse il vecchio gentiluomo. --Non vi commovete più del bisogno. Che cosa c'è egli di strano?|--Su, su, ragazzo mio!--disse il vecchio gentiluomo. --Non vi commovete più del bisogno. Che cosa c'è egli di strano?
ritrattodeldiavolo_13_barrili_f000179|Ho voluto vedervi ed abbracciarvi ancora una volta, prima di andarmene ad patres.|Ho voluto vedervi ed abbracciarvi ancora una volta, prima di andarmene ad patres.
ritrattodeldiavolo_13_barrili_f000180|Son vecchio oltre i settanta, che sono il colmo della vita, se dobbiam credere agli antichi;|Son vecchio oltre i settanta, che sono il colmo della vita, se dobbiam credere agli antichi;
ritrattodeldiavolo_13_barrili_f000181|e tutto il resto è un di più, sul quale non bisogna far conto.|e tutto il resto è un di più, sul quale non bisogna far conto.
ritrattodeldiavolo_13_barrili_f000182|Con queste chiacchiere allegre, messer Dardano Acciaiuoli cercava di sviare le idee malinconiche|Con queste chiacchiere allegre, messer Dardano Acciaiuoli cercava di sviare le idee malinconiche
ritrattodeldiavolo_13_barrili_f000183|naturalissime in quell'incontro, che doveva svegliare tanti dolorosi ricordi nell'animo di Spinello.|naturalissime in quell'incontro, che doveva svegliare tanti dolorosi ricordi nell'animo di Spinello.
ritrattodeldiavolo_13_barrili_f000184|Frattanto, il nobile fiorentino sbirciava il suo protetto, che male avrebbe riconosciuto|Frattanto, il nobile fiorentino sbirciava il suo protetto, che male avrebbe riconosciuto
ritrattodeldiavolo_13_barrili_f000185|se, scambio di trovarlo al suo posto d'onore, lo avesse incontrato per via.|se, scambio di trovarlo al suo posto d'onore, lo avesse incontrato per via.
ritrattodeldiavolo_13_barrili_f000186|Spinello aveva le guancie scarne, gli occhi infossati, i capegli largamente brizzolati di bianco;|Spinello aveva le guancie scarne, gli occhi infossati, i capegli largamente brizzolati di bianco;
ritrattodeldiavolo_13_barrili_f000187|era, a dirvela in due parole, una rovina d'uomo.|era, a dirvela in due parole, una rovina d'uomo.
ritrattodeldiavolo_13_barrili_f000188|La gioventù e la forza si vedevano solamente in quegli occhi; ma l'una e l'altra parevano fittizie|La gioventù e la forza si vedevano solamente in quegli occhi; ma l'una e l'altra parevano fittizie
ritrattodeldiavolo_13_barrili_f000189|come se la vita che traspariva da essi non fosse altro che un effetto di ebbrezza momentanea, od anche di pazzia.|come se la vita che traspariva da essi non fosse altro che un effetto di ebbrezza momentanea, od anche di pazzia.
ritrattodeldiavolo_13_barrili_f000190|Ma perchè egli non poteva guardar sempre Spinello, senza aver l'aria di far confronti tra il presente e il passato|Ma perchè egli non poteva guardar sempre Spinello, senza aver l'aria di far confronti tra il presente e il passato
ritrattodeldiavolo_13_barrili_f000191|messer Dardano si volse intorno a guardare i dipinti.|messer Dardano si volse intorno a guardare i dipinti.
ritrattodeldiavolo_13_barrili_f000192|L'impalcatura su cui era salito, si stendeva dall'arco del presbiterio fino all'emiciclo del coro|L'impalcatura su cui era salito, si stendeva dall'arco del presbiterio fino all'emiciclo del coro
ritrattodeldiavolo_13_barrili_f000193|e gli affreschi di Spinello Spinelli si vedevano stesi lungo la facciata dell'altar maggiore.|e gli affreschi di Spinello Spinelli si vedevano stesi lungo la facciata dell'altar maggiore.
ritrattodeldiavolo_13_barrili_f000194|Vi ho detto che la chiesa avea nome da Sant'Agnolo;|Vi ho detto che la chiesa avea nome da Sant'Agnolo;
ritrattodeldiavolo_13_barrili_f000195|aggiungo ora che si diceva Sant'Agnolo per mo' d'antonomasia, dovendo intendersi l'arcangiolo San Michele|aggiungo ora che si diceva Sant'Agnolo per mo' d'antonomasia, dovendo intendersi l'arcangiolo San Michele
ritrattodeldiavolo_13_barrili_f000196|che è il primo e il più ragguardevole tra gli spiriti celesti.|che è il primo e il più ragguardevole tra gli spiriti celesti.
ritrattodeldiavolo_13_barrili_f000197|Gli affreschi di Spinello Spinelli rappresentavano per l'appunto la più nobile impresa del Santo, vo' dire la rovina degli angioli ribelli|Gli affreschi di Spinello Spinelli rappresentavano per l'appunto la più nobile impresa del Santo, vo' dire la rovina degli angioli ribelli
ritrattodeldiavolo_13_barrili_f000198|e il pittore li aveva colti quasi tutti nel punto critico, in cui, piovendo sulla terra, si tramutarono in diavoli.|e il pittore li aveva colti quasi tutti nel punto critico, in cui, piovendo sulla terra, si tramutarono in diavoli.
ritrattodeldiavolo_13_barrili_f000199|Terribile all'aspetto, campeggiava in alto l'arcangiolo Michele|Terribile all'aspetto, campeggiava in alto l'arcangiolo Michele
ritrattodeldiavolo_13_barrili_f000200|che combatteva da par suo con l'antico serpente di sette teste e di dieci corna;|che combatteva da par suo con l'antico serpente di sette teste e di dieci corna;
ritrattodeldiavolo_13_barrili_f000201|un serpente assai brutto, come potete immaginarvi, e diventato anche più brutto per la disgraziatissima circostanza in cui era.|un serpente assai brutto, come potete immaginarvi, e diventato anche più brutto per la disgraziatissima circostanza in cui era.
ritrattodeldiavolo_13_barrili_f000202|Messer Dardano meravigliò in cuor suo che Spinello avesse fatto prova di tanta fantasia.|Messer Dardano meravigliò in cuor suo che Spinello avesse fatto prova di tanta fantasia.
ritrattodeldiavolo_13_barrili_f000203|Forse, ce n'era più che il pittore non avesse mostrato mai; perchè, se non sapete,|Forse, ce n'era più che il pittore non avesse mostrato mai; perchè, se non sapete,
ritrattodeldiavolo_13_barrili_f000204|lo scolaro di mastro Jacopo di Casentino ora salito in gran fama per la sua eccellenza nel trattare soggetti più quieti e nel dare espressione di gravità|lo scolaro di mastro Jacopo di Casentino ora salito in gran fama per la sua eccellenza nel trattare soggetti più quieti e nel dare espressione di gravità
ritrattodeldiavolo_13_barrili_f000205|e di tenerezza, ad aggruppamenti di poche figure.|e di tenerezza, ad aggruppamenti di poche figure.
ritrattodeldiavolo_13_barrili_f000206|La grazia semplice dei suoi Santi e delle sue Madonne sentiva qualche cosa della divinità.|La grazia semplice dei suoi Santi e delle sue Madonne sentiva qualche cosa della divinità.
ritrattodeldiavolo_13_barrili_f000207|Ed era tenuta per l'opera sua più maravigliosa una Vergine che porgeva a Cristo fanciullino una rosa|Ed era tenuta per l'opera sua più maravigliosa una Vergine che porgeva a Cristo fanciullino una rosa
ritrattodeldiavolo_13_barrili_f000208|affresco condotto da lui su d'una parete, in Santo Stefano fuori le mura d'Arezzo.|affresco condotto da lui su d'una parete, in Santo Stefano fuori le mura d'Arezzo.
ritrattodeldiavolo_13_barrili_f000209|La fama di quel dipinto doveva sopravvivere all'autore e alla chiesa, poichè|La fama di quel dipinto doveva sopravvivere all'autore e alla chiesa, poichè
ritrattodeldiavolo_13_barrili_f000210|quando questa cadde in rovina nel mille cinquecento sessantuno, gli Aretini, senza guardare a nessuna difficoltà o spesa|quando questa cadde in rovina nel mille cinquecento sessantuno, gli Aretini, senza guardare a nessuna difficoltà o spesa
ritrattodeldiavolo_13_barrili_f000211|tagliarono il muro intorno all'affresco, e allacciatolo ingegnosamente lo portarono in città|tagliarono il muro intorno all'affresco, e allacciatolo ingegnosamente lo portarono in città
ritrattodeldiavolo_13_barrili_f000212|per collocarlo in via delle Derelitte, sotto il nome poco appropriato di Madonna del Duomo.|per collocarlo in via delle Derelitte, sotto il nome poco appropriato di Madonna del Duomo.
ritrattodeldiavolo_13_barrili_f000213|Contro tutte le consuetudini, anzi meglio, contro l'indole del suo ingegno, Spinello Spinelli dava allora nel fantastico e nel truce.|Contro tutte le consuetudini, anzi meglio, contro l'indole del suo ingegno, Spinello Spinelli dava allora nel fantastico e nel truce.
ritrattodeldiavolo_13_barrili_f000214|E si compiaceva, mentre Dardano Acciaiuoli contemplava il dipinto|E si compiaceva, mentre Dardano Acciaiuoli contemplava il dipinto
ritrattodeldiavolo_13_barrili_f000215|si compiaceva in quella rovina d'angioli, quasi dovesse riescire il suo capolavoro.|si compiaceva in quella rovina d'angioli, quasi dovesse riescire il suo capolavoro.
ritrattodeldiavolo_13_barrili_f000216|Forse egli sentiva dentro di sè che sarebbe stato l'ultimo? --Vedete, messere;|Forse egli sentiva dentro di sè che sarebbe stato l'ultimo? --Vedete, messere;
ritrattodeldiavolo_13_barrili_f000217|--diceva egli, dopo avere esposto il suo concetto al vecchio gentiluomo; --sono ormai presso a finire.|--diceva egli, dopo avere esposto il suo concetto al vecchio gentiluomo; --sono ormai presso a finire.
ritrattodeldiavolo_13_barrili_f000218|Quel vano che scorgete nel centro è il posto di Lucifero. Ho incominciato con San Michele; finirò col suo grande inimico.|Quel vano che scorgete nel centro è il posto di Lucifero. Ho incominciato con San Michele; finirò col suo grande inimico.
ritrattodeldiavolo_13_barrili_f000219|È il più difficile, e l'ho lasciato per l'ultimo.|È il più difficile, e l'ho lasciato per l'ultimo.
ritrattodeldiavolo_13_barrili_f000220|Ci penserò stanotte, e domani, senz'altro, mi sbrigherò anche di lui. --Che? --esclamò messer Cardano. --Avete lavorato senza cartoni? --Sì, messere;|Ci penserò stanotte, e domani, senz'altro, mi sbrigherò anche di lui. --Che? --esclamò messer Cardano. --Avete lavorato senza cartoni? --Sì, messere;
ritrattodeldiavolo_13_barrili_f000221|per questa volta ho seguita l'ispirazione.|per questa volta ho seguita l'ispirazione.
ritrattodeldiavolo_13_barrili_f000222|Da principio, per darne un'idea a questi massari, avevo disegnato ogni cosa di rossaccio|Da principio, per darne un'idea a questi massari, avevo disegnato ogni cosa di rossaccio
ritrattodeldiavolo_13_barrili_f000223|così alla grossa, non dipingendo di buono che una piccola parte di questa composizione.|così alla grossa, non dipingendo di buono che una piccola parte di questa composizione.
ritrattodeldiavolo_13_barrili_f000224|L'idea è piaciuta, e m'hanno allogato il lavoro.|L'idea è piaciuta, e m'hanno allogato il lavoro.
ritrattodeldiavolo_13_barrili_f000225|Spinello non diceva tutto, poichè non lo sapeva appuntino.|Spinello non diceva tutto, poichè non lo sapeva appuntino.
ritrattodeldiavolo_13_barrili_f000226|Le sue distrazioni, la sua aria melensa, e certi segni che dava d'esser tocco nel cervello|Le sue distrazioni, la sua aria melensa, e certi segni che dava d'esser tocco nel cervello
ritrattodeldiavolo_13_barrili_f000227|avevano fatti rimanere dubbiosi i massari di Sant'Agnolo.|avevano fatti rimanere dubbiosi i massari di Sant'Agnolo.
ritrattodeldiavolo_13_barrili_f000228|Perciò, ad assicurarsi che l'artista era sempre quel desso|Perciò, ad assicurarsi che l'artista era sempre quel desso
ritrattodeldiavolo_13_barrili_f000229|e che non ne sarebbe venuta un'opera da doversi cancellare, avevano chiesto un disegno sul muro.|e che non ne sarebbe venuta un'opera da doversi cancellare, avevano chiesto un disegno sul muro.
ritrattodeldiavolo_13_barrili_f000230|E Spinello, che era sempre lui, quando si trovava sul suo trèspolo, aveva fatto il disegno richiesto|E Spinello, che era sempre lui, quando si trovava sul suo trèspolo, aveva fatto il disegno richiesto
ritrattodeldiavolo_13_barrili_f000231|meritando in tal guisa la lode di tutti e la pronta commissione dell'affresco.|meritando in tal guisa la lode di tutti e la pronta commissione dell'affresco.
ritrattodeldiavolo_13_barrili_f000232|Quel giorno, Spinello Spinelli lasciò il lavoro assai prima del solito, volendo dedicare tutto il suo tempo al nobilissimo ospite.|Quel giorno, Spinello Spinelli lasciò il lavoro assai prima del solito, volendo dedicare tutto il suo tempo al nobilissimo ospite.
ritrattodeldiavolo_13_barrili_f000233|S'intende che messer Dardano, per isviare l'animo del suo protetto dai dolorosi pensieri|S'intende che messer Dardano, per isviare l'animo del suo protetto dai dolorosi pensieri
ritrattodeldiavolo_13_barrili_f000234|che avevano purtroppo il triste effetto di offuscargli la ragione, si adoperò come potè meglio a tenere il discorso nel campo dell'arte.|che avevano purtroppo il triste effetto di offuscargli la ragione, si adoperò come potè meglio a tenere il discorso nel campo dell'arte.
ritrattodeldiavolo_13_barrili_f000235|E Spinello da principio segui benissimo il filo della conversazione, ragionando dei lavori che aveva in mente di fare.|E Spinello da principio segui benissimo il filo della conversazione, ragionando dei lavori che aveva in mente di fare.
ritrattodeldiavolo_13_barrili_f000236|Ma a poco a poco si smarrì, e, un'ora dopo, messer Dardano vide di non aver più accanto a sè che un povero scemo.|Ma a poco a poco si smarrì, e, un'ora dopo, messer Dardano vide di non aver più accanto a sè che un povero scemo.
